root	link	raw_target	target_kind	resolves_into_opencode	target_names_opencode	dangling	resolved_rel
.claude	.claude/commands/prompt/improve.md	../../../.opencode/commands/prompt/improve.md	relative	yes	yes	no	.opencode/commands/prompt/improve.md
.claude	.claude/commands/rewrite/response-by-external-agent.md	../../../.opencode/commands/rewrite/response-by-external-agent.md	relative	yes	yes	no	.opencode/commands/rewrite/response-by-external-agent.md
.claude	.claude/commands/rewrite/response.md	../../../.opencode/commands/rewrite/response.md	relative	yes	yes	no	.opencode/commands/rewrite/response.md
.claude	.claude/commands/speckit/complete.md	../../../.opencode/commands/speckit/complete.md	relative	yes	yes	no	.opencode/commands/speckit/complete.md
.claude	.claude/commands/speckit/implement.md	../../../.opencode/commands/speckit/implement.md	relative	yes	yes	no	.opencode/commands/speckit/implement.md
.claude	.claude/commands/speckit/plan.md	../../../.opencode/commands/speckit/plan.md	relative	yes	yes	no	.opencode/commands/speckit/plan.md
.claude	.claude/commands/speckit/resume.md	../../../.opencode/commands/speckit/resume.md	relative	yes	yes	no	.opencode/commands/speckit/resume.md
.claude	.claude/commands/speckit/save.md	../../../.opencode/commands/speckit/save.md	relative	yes	yes	no	.opencode/commands/speckit/save.md
.claude	.claude/commands/speckit/search.md	../../../.opencode/commands/speckit/search.md	relative	yes	yes	no	.opencode/commands/speckit/search.md
.claude	.claude/hooks/check-dist-staleness.sh	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	relative	yes	yes	no	.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh
.claude	.claude/hooks/check-git-hooks.sh	../../.opencode/bin/check-git-hooks.sh	relative	yes	yes	no	.opencode/bin/check-git-hooks.sh
.claude	.claude/hooks/claude-posttooluse.cjs	../../.opencode/hooks/post-edit-quality/claude/claude-posttooluse.cjs	relative	yes	yes	no	.opencode/hooks/post-edit-quality/claude/claude-posttooluse.cjs
.claude	.claude/hooks/compact-inject.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/compact-inject.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/compact-inject.js
.claude	.claude/hooks/completion-evidence-stop.cjs	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/completion-evidence-stop.cjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/claude/completion-evidence-stop.cjs
.claude	.claude/hooks/dispatch-audit-posttooluse.mjs	../../.opencode/hooks/dispatch/claude/dispatch-audit-posttooluse.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/claude/dispatch-audit-posttooluse.mjs
.claude	.claude/hooks/dispatch-preflight-lint.mjs	../../.opencode/hooks/dispatch/claude/dispatch-preflight-lint.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/claude/dispatch-preflight-lint.mjs
.claude	.claude/hooks/fable-subagent-guard.mjs	../../.opencode/hooks/task-dispatch/claude/fable-subagent-guard.mjs	relative	yes	yes	no	.opencode/hooks/task-dispatch/claude/fable-subagent-guard.mjs
.claude	.claude/hooks/git-live-follow.sh	../../.opencode/bin/git-live-follow.sh	relative	yes	yes	no	.opencode/bin/git-live-follow.sh
.claude	.claude/hooks/git-preflight-advisory.mjs	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	relative	yes	yes	no	.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs
.claude	.claude/hooks/git-primary-reconcile.sh	../../.opencode/bin/git-primary-reconcile.sh	relative	yes	yes	no	.opencode/bin/git-primary-reconcile.sh
.claude	.claude/hooks/install-codex-hooks.mjs	../../.opencode/bin/install-codex-hooks.mjs	relative	yes	yes	no	.opencode/bin/install-codex-hooks.mjs
.claude	.claude/hooks/mcp-route-guard.cjs	../../.opencode/hooks/mcp-route-guard/claude/mcp-route-guard.cjs	relative	yes	yes	no	.opencode/hooks/mcp-route-guard/claude/mcp-route-guard.cjs
.claude	.claude/hooks/session-cleanup.sh	../../.opencode/scripts/session-cleanup.sh	relative	yes	yes	no	.opencode/scripts/session-cleanup.sh
.claude	.claude/hooks/session-prime.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-prime.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-prime.js
.claude	.claude/hooks/session-stop.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-stop.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/session-stop.js
.claude	.claude/hooks/spec-gate-classify.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-classify.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-classify.mjs
.claude	.claude/hooks/spec-gate-enforce.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-enforce.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/claude/spec-gate-enforce.mjs
.claude	.claude/hooks/task-dispatch-guard.cjs	../../.opencode/hooks/task-dispatch/claude/task-dispatch-guard.cjs	relative	yes	yes	no	.opencode/hooks/task-dispatch/claude/task-dispatch-guard.cjs
.claude	.claude/hooks/user-prompt-submit.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/user-prompt-submit.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/claude/user-prompt-submit.js
.claude	.claude/hooks/worktree-guard.sh	../../.opencode/bin/worktree-guard.sh	relative	yes	yes	no	.opencode/bin/worktree-guard.sh
.claude	.claude/manual-testing-playbook	../.opencode/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook	relative	yes	yes	no	.opencode/skills/cli-external-orchestration/cli-claude-code/manual-testing-playbook
.claude	.claude/skills	../.opencode/skills	relative	yes	yes	no	.opencode/skills
.codex	.codex/hooks/check-dist-staleness.sh	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	relative	yes	yes	no	.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh
.codex	.codex/hooks/check-git-hooks.sh	../../.opencode/bin/check-git-hooks.sh	relative	yes	yes	no	.opencode/bin/check-git-hooks.sh
.codex	.codex/hooks/compact-inject.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/compact-inject.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/compact-inject.js
.codex	.codex/hooks/completion-evidence-stop.cjs	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/completion-evidence-stop.cjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/codex/completion-evidence-stop.cjs
.codex	.codex/hooks/dispatch-audit-posttooluse.mjs	../../.opencode/hooks/dispatch/codex/dispatch-audit-posttooluse.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/codex/dispatch-audit-posttooluse.mjs
.codex	.codex/hooks/dispatch-preflight-lint.mjs	../../.opencode/hooks/dispatch/codex/dispatch-preflight-lint.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/codex/dispatch-preflight-lint.mjs
.codex	.codex/hooks/git-live-follow.sh	../../.opencode/bin/git-live-follow.sh	relative	yes	yes	no	.opencode/bin/git-live-follow.sh
.codex	.codex/hooks/git-preflight-advisory.mjs	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	relative	yes	yes	no	.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs
.codex	.codex/hooks/git-primary-reconcile.sh	../../.opencode/bin/git-primary-reconcile.sh	relative	yes	yes	no	.opencode/bin/git-primary-reconcile.sh
.codex	.codex/hooks/mcp-route-guard.cjs	../../.opencode/hooks/mcp-route-guard/codex/mcp-route-guard.cjs	relative	yes	yes	no	.opencode/hooks/mcp-route-guard/codex/mcp-route-guard.cjs
.codex	.codex/hooks/post-edit-quality.cjs	../../.opencode/hooks/post-edit-quality/codex/post-edit-quality.cjs	relative	yes	yes	no	.opencode/hooks/post-edit-quality/codex/post-edit-quality.cjs
.codex	.codex/hooks/session-cleanup.sh	../../.opencode/scripts/session-cleanup.sh	relative	yes	yes	no	.opencode/scripts/session-cleanup.sh
.codex	.codex/hooks/session-start.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-start.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-start.js
.codex	.codex/hooks/session-stop.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-stop.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/session-stop.js
.codex	.codex/hooks/spec-gate-classify.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-classify.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-classify.mjs
.codex	.codex/hooks/spec-gate-enforce.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-enforce.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/codex/spec-gate-enforce.mjs
.codex	.codex/hooks/user-prompt-submit.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/user-prompt-submit.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/codex/user-prompt-submit.js
.codex	.codex/hooks/worktree-guard.sh	../../.opencode/bin/worktree-guard.sh	relative	yes	yes	no	.opencode/bin/worktree-guard.sh
.codex	.codex/manual-testing-playbook	../.opencode/skills/cli-external-orchestration/cli-codex/manual-testing-playbook	relative	yes	yes	no	.opencode/skills/cli-external-orchestration/cli-codex/manual-testing-playbook
.cursor	.cursor/agents/ai-council.md	../../.claude/agents/ai-council.md	relative	no	no	no	.claude/agents/ai-council.md
.cursor	.cursor/agents/code.md	../../.claude/agents/code.md	relative	no	no	no	.claude/agents/code.md
.cursor	.cursor/agents/context.md	../../.claude/agents/context.md	relative	no	no	no	.claude/agents/context.md
.cursor	.cursor/agents/debug.md	../../.claude/agents/debug.md	relative	no	no	no	.claude/agents/debug.md
.cursor	.cursor/agents/deep-improvement.md	../../.claude/agents/deep-improvement.md	relative	no	no	no	.claude/agents/deep-improvement.md
.cursor	.cursor/agents/deep-research.md	../../.claude/agents/deep-research.md	relative	no	no	no	.claude/agents/deep-research.md
.cursor	.cursor/agents/deep-review.md	../../.claude/agents/deep-review.md	relative	no	no	no	.claude/agents/deep-review.md
.cursor	.cursor/agents/design.md	../../.claude/agents/design.md	relative	no	no	no	.claude/agents/design.md
.cursor	.cursor/agents/markdown.md	../../.claude/agents/markdown.md	relative	no	no	no	.claude/agents/markdown.md
.cursor	.cursor/agents/orchestrate.md	../../.claude/agents/orchestrate.md	relative	no	no	no	.claude/agents/orchestrate.md
.cursor	.cursor/agents/prompt-improver.md	../../.claude/agents/prompt-improver.md	relative	no	no	no	.claude/agents/prompt-improver.md
.cursor	.cursor/agents/review.md	../../.claude/agents/review.md	relative	no	no	no	.claude/agents/review.md
.cursor	.cursor/commands/agent-router.md	../../.opencode/commands/agent-router.md	relative	yes	yes	no	.opencode/commands/agent-router.md
.cursor	.cursor/commands/create-agent.md	../../.opencode/commands/create/agent.md	relative	yes	yes	no	.opencode/commands/create/agent.md
.cursor	.cursor/commands/create-benchmark.md	../../.opencode/commands/create/benchmark.md	relative	yes	yes	no	.opencode/commands/create/benchmark.md
.cursor	.cursor/commands/create-changelog.md	../../.opencode/commands/create/changelog.md	relative	yes	yes	no	.opencode/commands/create/changelog.md
.cursor	.cursor/commands/create-command.md	../../.opencode/commands/create/command.md	relative	yes	yes	no	.opencode/commands/create/command.md
.cursor	.cursor/commands/create-diff.md	../../.opencode/commands/create/diff.md	relative	yes	yes	no	.opencode/commands/create/diff.md
.cursor	.cursor/commands/create-feature-catalog.md	../../.opencode/commands/create/feature-catalog.md	relative	yes	yes	no	.opencode/commands/create/feature-catalog.md
.cursor	.cursor/commands/create-manual-testing-playbook.md	../../.opencode/commands/create/manual-testing-playbook.md	relative	yes	yes	no	.opencode/commands/create/manual-testing-playbook.md
.cursor	.cursor/commands/create-readme.md	../../.opencode/commands/create/readme.md	relative	yes	yes	no	.opencode/commands/create/readme.md
.cursor	.cursor/commands/create-repo-rule.md	../../.opencode/commands/create/repo-rule.md	relative	yes	yes	no	.opencode/commands/create/repo-rule.md
.cursor	.cursor/commands/create-skill-parent.md	../../.opencode/commands/create/skill-parent.md	relative	yes	yes	no	.opencode/commands/create/skill-parent.md
.cursor	.cursor/commands/create-skill.md	../../.opencode/commands/create/skill.md	relative	yes	yes	no	.opencode/commands/create/skill.md
.cursor	.cursor/commands/create-with-human-voice.md	../../.opencode/commands/create/with-human-voice.md	relative	yes	yes	no	.opencode/commands/create/with-human-voice.md
.cursor	.cursor/commands/deep-agent-improvement.md	../../.opencode/commands/deep/agent-improvement.md	relative	yes	yes	no	.opencode/commands/deep/agent-improvement.md
.cursor	.cursor/commands/deep-ai-council.md	../../.opencode/commands/deep/ai-council.md	relative	yes	yes	no	.opencode/commands/deep/ai-council.md
.cursor	.cursor/commands/deep-model-benchmark.md	../../.opencode/commands/deep/model-benchmark.md	relative	yes	yes	no	.opencode/commands/deep/model-benchmark.md
.cursor	.cursor/commands/deep-research.md	../../.opencode/commands/deep/research.md	relative	yes	yes	no	.opencode/commands/deep/research.md
.cursor	.cursor/commands/deep-review.md	../../.opencode/commands/deep/review.md	relative	yes	yes	no	.opencode/commands/deep/review.md
.cursor	.cursor/commands/design-chart.md	../../.opencode/commands/design/chart.md	relative	yes	yes	no	.opencode/commands/design/chart.md
.cursor	.cursor/commands/design-diagram.md	../../.opencode/commands/design/diagram.md	relative	yes	yes	no	.opencode/commands/design/diagram.md
.cursor	.cursor/commands/design-extract.md	../../.opencode/commands/design/extract.md	relative	yes	yes	no	.opencode/commands/design/extract.md
.cursor	.cursor/commands/doctor-mcp.md	../../.opencode/commands/doctor/mcp.md	relative	yes	yes	no	.opencode/commands/doctor/mcp.md
.cursor	.cursor/commands/doctor-speckit.md	../../.opencode/commands/doctor/speckit.md	relative	yes	yes	no	.opencode/commands/doctor/speckit.md
.cursor	.cursor/commands/doctor-update.md	../../.opencode/commands/doctor/update.md	relative	yes	yes	no	.opencode/commands/doctor/update.md
.cursor	.cursor/commands/prompt-improve.md	../../.opencode/commands/prompt/improve.md	relative	yes	yes	no	.opencode/commands/prompt/improve.md
.cursor	.cursor/commands/rewrite-response-by-external-agent.md	../../.opencode/commands/rewrite/response-by-external-agent.md	relative	yes	yes	no	.opencode/commands/rewrite/response-by-external-agent.md
.cursor	.cursor/commands/rewrite-response.md	../../.opencode/commands/rewrite/response.md	relative	yes	yes	no	.opencode/commands/rewrite/response.md
.cursor	.cursor/commands/speckit-complete.md	../../.opencode/commands/speckit/complete.md	relative	yes	yes	no	.opencode/commands/speckit/complete.md
.cursor	.cursor/commands/speckit-implement.md	../../.opencode/commands/speckit/implement.md	relative	yes	yes	no	.opencode/commands/speckit/implement.md
.cursor	.cursor/commands/speckit-plan.md	../../.opencode/commands/speckit/plan.md	relative	yes	yes	no	.opencode/commands/speckit/plan.md
.cursor	.cursor/commands/speckit-resume.md	../../.opencode/commands/speckit/resume.md	relative	yes	yes	no	.opencode/commands/speckit/resume.md
.cursor	.cursor/commands/speckit-save.md	../../.opencode/commands/speckit/save.md	relative	yes	yes	no	.opencode/commands/speckit/save.md
.cursor	.cursor/commands/speckit-search.md	../../.opencode/commands/speckit/search.md	relative	yes	yes	no	.opencode/commands/speckit/search.md
.cursor	.cursor/hooks/check-dist-staleness.sh	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	relative	yes	yes	no	.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh
.cursor	.cursor/hooks/check-git-hooks.sh	../../.opencode/bin/check-git-hooks.sh	relative	yes	yes	no	.opencode/bin/check-git-hooks.sh
.cursor	.cursor/hooks/dispatch-preflight-lint.mjs	../../.opencode/hooks/dispatch/cursor/dispatch-preflight-lint.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/cursor/dispatch-preflight-lint.mjs
.cursor	.cursor/hooks/git-preflight-advisory.mjs	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	relative	yes	yes	no	.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs
.cursor	.cursor/hooks/goal-inject.mjs	../../.opencode/hooks/goal/cursor/goal-inject.mjs	relative	yes	yes	no	.opencode/hooks/goal/cursor/goal-inject.mjs
.cursor	.cursor/hooks/install-codex-hooks.mjs	../../.opencode/bin/install-codex-hooks.mjs	relative	yes	yes	no	.opencode/bin/install-codex-hooks.mjs
.cursor	.cursor/hooks/mcp-route-guard.mjs	../../.opencode/hooks/mcp-route-guard/cursor/mcp-route-guard.mjs	relative	yes	yes	no	.opencode/hooks/mcp-route-guard/cursor/mcp-route-guard.mjs
.cursor	.cursor/hooks/post-tool-use.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/cursor/post-tool-use.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/cursor/post-tool-use.mjs
.cursor	.cursor/hooks/precompact.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/precompact.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/precompact.js
.cursor	.cursor/hooks/session-cleanup.sh	../../.opencode/scripts/session-cleanup.sh	relative	yes	yes	no	.opencode/scripts/session-cleanup.sh
.cursor	.cursor/hooks/session-end.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/session-end.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/session-end.js
.cursor	.cursor/hooks/session-start.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/session-start.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/session-start.js
.cursor	.cursor/hooks/spec-gate-classify.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/cursor/spec-gate-classify.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/cursor/spec-gate-classify.mjs
.cursor	.cursor/hooks/spec-gate-enforce.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/cursor/spec-gate-enforce.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/cursor/spec-gate-enforce.mjs
.cursor	.cursor/hooks/spec-gate-prebind.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/cursor/spec-gate-prebind.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/cursor/spec-gate-prebind.mjs
.cursor	.cursor/hooks/task-dispatch-guard.mjs	../../.opencode/hooks/task-dispatch/cursor/task-dispatch-guard.mjs	relative	yes	yes	no	.opencode/hooks/task-dispatch/cursor/task-dispatch-guard.mjs
.cursor	.cursor/hooks/user-prompt-submit.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/user-prompt-submit.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/cursor/user-prompt-submit.js
.cursor	.cursor/hooks/worktree-guard.sh	../../.opencode/bin/worktree-guard.sh	relative	yes	yes	no	.opencode/bin/worktree-guard.sh
.cursor	.cursor/manual-testing-playbook	../.opencode/skills/cli-external-orchestration/cli-cursor/manual-testing-playbook	relative	yes	yes	no	.opencode/skills/cli-external-orchestration/cli-cursor/manual-testing-playbook
.cursor	.cursor/rules/sk-vision.md	../../.opencode/skills/sk-vision/hooks/cursor/vision-rule.md	relative	yes	yes	no	.opencode/skills/sk-vision/hooks/cursor/vision-rule.md
.devin	.devin/agents/ai-council/AGENT.md	../../../.claude/agents/ai-council.md	relative	no	no	no	.claude/agents/ai-council.md
.devin	.devin/agents/code/AGENT.md	../../../.claude/agents/code.md	relative	no	no	no	.claude/agents/code.md
.devin	.devin/agents/context/AGENT.md	../../../.claude/agents/context.md	relative	no	no	no	.claude/agents/context.md
.devin	.devin/agents/debug/AGENT.md	../../../.claude/agents/debug.md	relative	no	no	no	.claude/agents/debug.md
.devin	.devin/agents/deep-improvement/AGENT.md	../../../.claude/agents/deep-improvement.md	relative	no	no	no	.claude/agents/deep-improvement.md
.devin	.devin/agents/deep-research/AGENT.md	../../../.claude/agents/deep-research.md	relative	no	no	no	.claude/agents/deep-research.md
.devin	.devin/agents/deep-review/AGENT.md	../../../.claude/agents/deep-review.md	relative	no	no	no	.claude/agents/deep-review.md
.devin	.devin/agents/design/AGENT.md	../../../.claude/agents/design.md	relative	no	no	no	.claude/agents/design.md
.devin	.devin/agents/markdown/AGENT.md	../../../.claude/agents/markdown.md	relative	no	no	no	.claude/agents/markdown.md
.devin	.devin/agents/orchestrate/AGENT.md	../../../.claude/agents/orchestrate.md	relative	no	no	no	.claude/agents/orchestrate.md
.devin	.devin/agents/prompt-improver/AGENT.md	../../../.claude/agents/prompt-improver.md	relative	no	no	no	.claude/agents/prompt-improver.md
.devin	.devin/agents/review/AGENT.md	../../../.claude/agents/review.md	relative	no	no	no	.claude/agents/review.md
.devin	.devin/hooks/check-dist-staleness.sh	../../.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh	relative	yes	yes	no	.opencode/skills/sk-code/sk-code-quality/scripts/check-dist-staleness.sh
.devin	.devin/hooks/check-git-hooks.sh	../../.opencode/bin/check-git-hooks.sh	relative	yes	yes	no	.opencode/bin/check-git-hooks.sh
.devin	.devin/hooks/completion-evidence-stop.cjs	../../.opencode/skills/system-spec-kit/runtime/hooks/devin/completion-evidence-stop.cjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/devin/completion-evidence-stop.cjs
.devin	.devin/hooks/dispatch-audit-posttooluse.mjs	../../.opencode/hooks/dispatch/devin/dispatch-audit-posttooluse.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/devin/dispatch-audit-posttooluse.mjs
.devin	.devin/hooks/dispatch-preflight-lint.mjs	../../.opencode/hooks/dispatch/devin/dispatch-preflight-lint.mjs	relative	yes	yes	no	.opencode/hooks/dispatch/devin/dispatch-preflight-lint.mjs
.devin	.devin/hooks/git-preflight-advisory.mjs	../../.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs	relative	yes	yes	no	.opencode/skills/sk-git/scripts/hooks/git-preflight-advisory.mjs
.devin	.devin/hooks/goal-inject.mjs	../../.opencode/hooks/goal/devin/goal-inject.mjs	relative	yes	yes	no	.opencode/hooks/goal/devin/goal-inject.mjs
.devin	.devin/hooks/install-codex-hooks.mjs	../../.opencode/bin/install-codex-hooks.mjs	relative	yes	yes	no	.opencode/bin/install-codex-hooks.mjs
.devin	.devin/hooks/mcp-route-guard.cjs	../../.opencode/hooks/mcp-route-guard/devin/mcp-route-guard.cjs	relative	yes	yes	no	.opencode/hooks/mcp-route-guard/devin/mcp-route-guard.cjs
.devin	.devin/hooks/permission-request-policy.mjs	../../.opencode/skills/system-spec-kit/runtime/hooks/devin/permission-request-policy.mjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/devin/permission-request-policy.mjs
.devin	.devin/hooks/post-compaction.cjs	../../.opencode/skills/system-spec-kit/runtime/hooks/devin/post-compaction.cjs	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/hooks/devin/post-compaction.cjs
.devin	.devin/hooks/post-edit-quality.cjs	../../.opencode/hooks/post-edit-quality/devin/post-edit-quality.cjs	relative	yes	yes	no	.opencode/hooks/post-edit-quality/devin/post-edit-quality.cjs
.devin	.devin/hooks/session-cleanup.sh	../../.opencode/scripts/session-cleanup.sh	relative	yes	yes	no	.opencode/scripts/session-cleanup.sh
.devin	.devin/hooks/session-start.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/devin/session-start.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/devin/session-start.js
.devin	.devin/hooks/session-stop.js	../../.opencode/skills/system-spec-kit/runtime/dist/hooks/devin/session-stop.js	relative	yes	yes	no	.opencode/skills/system-spec-kit/runtime/dist/hooks/devin/session-stop.js
.devin	.devin/hooks/sk-vision.mjs	../../.opencode/hooks/sk-vision/devin/sk-vision.mjs	relative	yes	yes	no	.opencode/skills/sk-vision/hooks/devin/sk-vision.mjs
