Employee ID,Department,Level,Location,Hire Date,Hire Month,Exit Date,Exit Month,Exit Type,Status,Exited Num,Tenure Months,Gender,Age Band,Salary USD,Performance,Engagement,Work Mode
E-0018,Marketing,IC1,Bengaluru,2024-05-01,2024-05,,,,Active,0,26,Non-binary,30-39,53471,4,7.6,Remote
E-0019,Engineering,IC1,Bengaluru,2025-03-13,2025-03,,,,Active,0,16,Male,40-49,62799,3,7.4,Hybrid
E-0020,People,M1,Austin,2026-09-14,2026-09,,,,Active,0,0,Non-binary,30-39,158119,3,8.1,Onsite
E-0021,Engineering,IC1,Dublin,2025-01-19,2025-01,,,,Active,0,17,Non-binary,30-39,56632,3,7.7,Onsite
E-0022,Engineering,M2,Bengaluru,2022-09-14,2022-09,,,,Active,0,45,Non-binary,20-29,215028,4,8.3,Hybrid
E-0023,Marketing,M2,Bengaluru,2023-10-11,2023-10,2025-01-05,2025-01,Voluntary,Exited,1,15,Female,30-39,186192,2,6.2,Onsite
E-0024,People,IC2,Remote,2023-07-24,2023-07,,,,Active,0,35,Female,20-29,80358,4,8.7,Hybrid
E-0025,Engineering,M2,Singapore,2021-07-01,2021-07,,,,Active,0,60,Non-binary,30-39,180333,3,7.4,Onsite
E-0026,People,IC5,Dublin,2023-07-02,2023-07,,,,Active,0,36,Non-binary,40-49,199026,3,7.5,Remote
E-0027,Engineering,M1,Dublin,2021-02-28,2021-02,,,,Active,0,64,Female,20-29,173181,3,8,Remote
E-0028,Engineering,IC3,Bengaluru,2021-11-27,2021-11,,,,Active,0,55,Non-binary,40-49,115215,3,8.1,Hybrid
E-0029,Marketing,IC1,Austin,2023-07-25,2023-07,,,,Active,0,35,Female,20-29,56957,3,7.6,Hybrid
E-0030,Marketing,IC2,Austin,2024-08-06,2024-08,,,,Active,0,23,Female,50+,69257,3,7.5,Remote
E-0031,Sales,IC1,Austin,2022-05-04,2022-05,,,,Active,0,50,Non-binary,40-49,69750,3,7.5,Onsite
E-0032,Support,M1,Singapore,2025-01-13,2025-01,,,,Active,0,18,Male,30-39,174507,3,7.5,Onsite
E-0033,Engineering,M2,Dublin,2023-03-18,2023-03,,,,Active,0,39,Non-binary,30-39,181482,4,8,Onsite
E-0034,Engineering,IC3,Austin,2023-06-24,2023-06,,,,Active,0,36,Female,30-39,115181,3,7.8,Remote
E-0035,Engineering,M2,Singapore,2020-05-16,2020-05,,,,Active,0,73,Female,40-49,222005,2,7,Remote
E-0036,Sales,IC3,Austin,2026-10-27,2026-10,,,,Active,0,0,Non-binary,20-29,98934,3,7.3,Hybrid
E-0037,Support,M2,Remote,2025-03-04,2025-03,,,,Active,0,16,Male,40-49,195806,3,7.5,Onsite
E-0038,Engineering,IC1,Bengaluru,2024-03-02,2024-03,,,,Active,0,28,Female,40-49,64412,4,7.7,Onsite
E-0039,Engineering,IC5,Singapore,2021-01-12,2021-01,,,,Active,0,66,Female,30-39,163267,2,7.5,Hybrid
E-0040,Marketing,IC3,Austin,2024-01-27,2024-01,,,,Active,0,29,Male,40-49,116712,3,7.4,Hybrid
E-0041,Finance,IC3,Remote,2026-12-03,2026-12,,,,Active,0,0,Non-binary,20-29,110776,3,7.8,Hybrid
E-0042,Sales,IC2,Bengaluru,2024-07-23,2024-07,,,,Active,0,23,Male,50+,84256,3,7.7,Onsite
E-0043,Engineering,IC5,Dublin,2021-10-03,2021-10,,,,Active,0,57,Female,50+,171999,3,7.6,Onsite
E-0044,Sales,IC5,Austin,2025-03-02,2025-03,,,,Active,0,16,Female,20-29,186889,4,7.8,Onsite
E-0045,Marketing,M1,Austin,2025-07-04,2025-07,,,,Active,0,12,Female,40-49,172282,3,7.3,Remote
E-0046,Sales,M2,Austin,2025-06-16,2025-06,,,,Active,0,12,Non-binary,40-49,191406,4,7.4,Onsite
E-0047,Engineering,IC5,Austin,2019-05-13,2019-05,,,,Active,0,86,Non-binary,20-29,176039,4,7.8,Remote
E-0048,People,IC3,Bengaluru,2021-07-20,2021-07,,,,Active,0,59,Non-binary,40-49,95699,3,7.5,Hybrid
E-0049,Finance,IC2,Bengaluru,2025-07-28,2025-07,,,,Active,0,11,Male,20-29,72064,2,7.2,Onsite
E-0050,Marketing,IC4,Singapore,2026-09-24,2026-09,,,,Active,0,0,Non-binary,20-29,131477,4,7.7,Onsite
E-0051,Finance,IC2,Singapore,2025-12-02,2025-12,,,,Active,0,7,Female,50+,84540,2,7.8,Remote
E-0052,Finance,IC2,Singapore,2020-12-24,2020-12,,,,Active,0,66,Male,50+,72150,3,7.7,Remote
E-0053,Support,IC1,Remote,2025-12-28,2025-12,,,,Active,0,6,Non-binary,20-29,56361,3,7.9,Remote
E-0054,Engineering,IC1,Dublin,2021-10-21,2021-10,,,,Active,0,56,Female,30-39,59859,2,7.8,Remote
E-0055,Marketing,IC2,Austin,2023-07-11,2023-07,,,,Active,0,36,Male,40-49,69633,3,7.6,Remote
E-0056,Engineering,IC2,Singapore,2023-08-02,2023-08,,,,Active,0,35,Female,20-29,74945,3,6.8,Hybrid
E-0057,People,IC4,Singapore,2024-01-15,2024-01,,,,Active,0,29,Male,40-49,132843,3,7.7,Remote
E-0058,Sales,IC4,Austin,2025-10-10,2025-10,,,,Active,0,9,Non-binary,40-49,145959,2,7.6,Remote
E-0059,Engineering,IC4,Remote,2021-04-04,2021-04,,,,Active,0,63,Non-binary,50+,152857,3,8.3,Hybrid
E-0060,Engineering,IC5,Bengaluru,2023-09-20,2023-09,,,,Active,0,33,Female,30-39,203394,3,7.5,Remote
E-0061,Support,IC2,Remote,2020-02-03,2020-02,,,,Active,0,77,Female,40-49,85395,2,7.2,Hybrid
E-0062,Engineering,M2,Bengaluru,2025-05-03,2025-05,,,,Active,0,14,Non-binary,30-39,219040,4,7.8,Remote
E-0063,Engineering,IC3,Dublin,2020-12-13,2020-12,,,,Active,0,67,Female,50+,91463,2,7,Hybrid
E-0064,Engineering,IC2,Remote,2023-12-20,2023-12,,,,Active,0,30,Male,20-29,72473,3,7.6,Hybrid
E-0065,Engineering,IC4,Dublin,2022-11-14,2022-11,,,,Active,0,43,Non-binary,30-39,138907,3,7.3,Remote
E-0066,Engineering,IC3,Austin,2025-11-27,2025-11,,,,Active,0,7,Non-binary,40-49,118840,4,7.7,Hybrid
E-0067,Sales,M2,Dublin,2025-02-15,2025-02,,,,Active,0,16,Female,50+,219571,3,8,Hybrid
E-0068,Support,IC3,Singapore,2021-10-14,2021-10,,,,Active,0,57,Male,30-39,93515,3,7.2,Onsite
E-0069,Engineering,IC2,Singapore,2025-10-28,2025-10,,,,Active,0,8,Male,30-39,79364,3,8.4,Hybrid
E-0070,Engineering,M1,Austin,2024-08-26,2024-08,,,,Active,0,22,Male,30-39,151340,4,8.2,Remote
E-0071,Sales,M2,Singapore,2022-09-22,2022-09,,,,Active,0,45,Male,20-29,180199,3,8.1,Onsite
E-0072,Sales,IC1,Dublin,2024-02-24,2024-02,,,,Active,0,28,Male,40-49,53827,3,7.7,Remote
E-0073,Sales,IC1,Austin,2022-11-12,2022-11,,,,Active,0,44,Female,40-49,59391,3,7.4,Onsite
E-0074,Sales,IC1,Bengaluru,2023-07-24,2023-07,,,,Active,0,35,Male,20-29,69532,4,7.5,Hybrid
E-0075,Sales,IC1,Dublin,2023-01-01,2023-01,,,,Active,0,42,Male,30-39,62841,3,8.1,Onsite
E-0076,Sales,IC4,Austin,2025-10-19,2025-10,2026-02-24,2026-02,Involuntary,Exited,1,4,Male,30-39,129017,3,6.3,Hybrid
E-0077,Finance,IC4,Austin,2025-04-22,2025-04,,,,Active,0,14,Non-binary,30-39,155296,3,7.4,Onsite
E-0078,Finance,IC4,Singapore,2022-03-28,2022-03,,,,Active,0,51,Female,30-39,152076,3,7.3,Remote
E-0079,Sales,IC2,Remote,2025-01-28,2025-01,,,,Active,0,17,Female,30-39,69375,3,8.1,Remote
E-0080,Finance,IC5,Dublin,2025-11-01,2025-11,,,,Active,0,8,Male,40-49,152229,3,7.7,Hybrid
E-0081,Engineering,M1,Dublin,2024-03-26,2024-03,,,,Active,0,27,Female,40-49,167702,3,7.9,Remote
E-0082,Finance,IC1,Bengaluru,2022-08-04,2022-08,,,,Active,0,47,Male,40-49,62459,2,7.4,Onsite
E-0083,Engineering,IC1,Singapore,2022-11-18,2022-11,,,,Active,0,43,Non-binary,50+,59728,3,7.1,Remote
E-0084,Support,M2,Remote,2022-07-15,2022-07,,,,Active,0,48,Non-binary,30-39,226431,3,8,Hybrid
E-0085,Engineering,M2,Bengaluru,2021-09-19,2021-09,,,,Active,0,57,Non-binary,30-39,182873,3,8,Onsite
E-0086,People,M2,Austin,2025-04-21,2025-04,,,,Active,0,14,Female,20-29,182777,2,7.6,Remote
E-0087,Engineering,IC2,Austin,2026-06-23,2026-06,,,,Active,0,0,Non-binary,40-49,79034,4,7.7,Onsite
E-0088,Support,IC3,Remote,2024-09-26,2024-09,,,,Active,0,21,Female,30-39,120876,3,7.8,Onsite
E-0089,Support,IC5,Bengaluru,2021-10-05,2021-10,,,,Active,0,57,Male,30-39,152205,3,7.6,Remote
E-0090,Support,IC5,Remote,2025-07-05,2025-07,2025-10-17,2025-10,Voluntary,Exited,1,3,Male,40-49,166160,4,7.1,Onsite
E-0091,Support,M2,Bengaluru,2026-12-24,2026-12,,,,Active,0,0,Male,20-29,172005,3,7.5,Remote
E-0092,Support,IC1,Bengaluru,2021-06-22,2021-06,,,,Active,0,60,Female,20-29,69265,3,7.4,Onsite
E-0093,Support,IC3,Bengaluru,2025-10-08,2025-10,,,,Active,0,9,Male,40-49,112817,3,8.5,Hybrid
E-0094,Sales,IC3,Austin,2024-03-20,2024-03,,,,Active,0,27,Female,20-29,88688,3,7.8,Hybrid
E-0095,Sales,IC3,Austin,2026-10-02,2026-10,,,,Active,0,0,Female,20-29,96763,3,7.8,Remote
E-0096,Engineering,IC5,Remote,2022-11-28,2022-11,,,,Active,0,43,Male,50+,159106,3,7.7,Onsite
E-0097,Sales,IC1,Singapore,2024-04-09,2024-04,,,,Active,0,27,Female,30-39,63677,4,7.5,Hybrid
E-0098,Sales,M2,Remote,2021-02-16,2021-02,,,,Active,0,64,Female,30-39,218097,3,8,Hybrid
E-0099,Sales,IC2,Austin,2024-01-19,2024-01,,,,Active,0,29,Female,20-29,73881,2,6.9,Remote
E-0100,Engineering,M1,Bengaluru,2020-07-18,2020-07,2025-07-25,2025-07,Voluntary,Exited,1,60,Female,30-39,138699,3,5.4,Remote
E-0101,Engineering,IC2,Dublin,2019-09-15,2019-09,,,,Active,0,81,Female,50+,82942,4,7.9,Hybrid
E-0102,Support,M2,Remote,2021-09-09,2021-09,2025-02-10,2025-02,Involuntary,Exited,1,41,Male,30-39,227900,3,5.8,Onsite
E-0103,Engineering,M2,Bengaluru,2025-01-09,2025-01,,,,Active,0,18,Non-binary,20-29,218896,3,8.1,Hybrid
E-0104,Support,IC3,Singapore,2024-02-08,2024-02,2026-06-25,2026-06,Involuntary,Exited,1,29,Male,30-39,103605,3,5.9,Remote
E-0105,Support,M2,Austin,2024-06-26,2024-06,,,,Active,0,24,Non-binary,50+,198988,3,8,Hybrid
E-0106,Finance,IC4,Austin,2022-05-08,2022-05,,,,Active,0,50,Female,50+,158661,3,7.9,Onsite
E-0107,People,IC5,Singapore,2025-03-06,2025-03,,,,Active,0,16,Male,40-49,209062,3,7.3,Onsite
E-0108,Sales,IC2,Singapore,2019-02-14,2019-02,,,,Active,0,88,Male,30-39,77771,3,8.2,Hybrid
E-0109,Engineering,IC1,Austin,2019-02-04,2019-02,,,,Active,0,89,Female,30-39,52602,4,7.6,Remote
E-0110,Sales,M2,Remote,2025-04-05,2025-04,,,,Active,0,15,Non-binary,50+,198364,3,7.5,Onsite
E-0111,Engineering,M2,Dublin,2025-09-08,2025-09,,,,Active,0,10,Male,30-39,183171,3,7.6,Hybrid
E-0112,Sales,IC2,Dublin,2020-06-22,2020-06,,,,Active,0,72,Female,40-49,88364,3,7.4,Hybrid
E-0113,Marketing,IC2,Singapore,2023-01-23,2023-01,,,,Active,0,41,Non-binary,40-49,83186,3,8,Onsite
E-0114,Sales,IC2,Austin,2021-12-10,2021-12,2025-08-26,2025-08,Involuntary,Exited,1,45,Female,50+,79823,4,6.4,Hybrid
E-0115,Engineering,IC3,Dublin,2021-03-03,2021-03,,,,Active,0,64,Male,50+,114917,2,7.6,Remote
E-0116,Marketing,M1,Austin,2019-01-25,2019-01,,,,Active,0,89,Non-binary,20-29,133260,3,7.8,Hybrid
E-0117,Finance,M2,Dublin,2020-03-11,2020-03,,,,Active,0,76,Female,40-49,180256,2,6.9,Remote
E-0118,Marketing,IC1,Austin,2022-08-24,2022-08,,,,Active,0,46,Non-binary,50+,53800,3,7.5,Hybrid
E-0119,Marketing,M1,Singapore,2023-03-26,2023-03,,,,Active,0,39,Female,30-39,136191,3,7.5,Onsite
E-0120,Marketing,M1,Bengaluru,2026-09-25,2026-09,,,,Active,0,0,Non-binary,40-49,164584,3,6.8,Hybrid
E-0121,Engineering,IC1,Austin,2026-05-05,2026-05,,,,Active,0,2,Male,50+,60770,3,7.9,Remote
E-0122,Engineering,IC4,Singapore,2025-12-10,2025-12,,,,Active,0,7,Non-binary,40-49,160957,3,6.9,Remote
E-0123,People,IC5,Singapore,2019-01-12,2019-01,2025-04-11,2025-04,Voluntary,Exited,1,75,Male,40-49,178847,3,6.6,Onsite
E-0124,Sales,IC3,Remote,2021-08-07,2021-08,,,,Active,0,59,Non-binary,40-49,97383,3,8.2,Hybrid
E-0125,Sales,M1,Bengaluru,2024-09-16,2024-09,2026-04-01,2026-04,Voluntary,Exited,1,18,Female,20-29,144026,2,6.2,Onsite
E-0126,Sales,IC2,Austin,2020-01-20,2020-01,,,,Active,0,77,Non-binary,40-49,89771,2,7.2,Onsite
E-0127,Engineering,IC4,Remote,2024-05-11,2024-05,,,,Active,0,26,Non-binary,40-49,152570,3,8.1,Remote
E-0128,People,IC1,Bengaluru,2022-10-10,2022-10,,,,Active,0,45,Male,50+,53041,3,7.9,Remote
E-0129,Sales,IC5,Singapore,2024-04-20,2024-04,2026-02-28,2026-02,Involuntary,Exited,1,22,Non-binary,40-49,195044,3,6,Hybrid
E-0130,Engineering,IC2,Bengaluru,2024-04-14,2024-04,,,,Active,0,27,Non-binary,50+,78741,3,8,Remote
E-0131,Support,IC5,Dublin,2024-05-09,2024-05,2026-05-11,2026-05,Involuntary,Exited,1,24,Non-binary,30-39,177352,3,6.9,Hybrid
E-0132,Engineering,IC2,Austin,2019-08-15,2019-08,,,,Active,0,82,Non-binary,20-29,88241,3,8.4,Onsite
E-0133,Finance,M2,Austin,2026-02-19,2026-02,,,,Active,0,4,Female,20-29,191441,3,7.4,Hybrid
E-0134,Marketing,IC5,Austin,2022-09-18,2022-09,,,,Active,0,45,Non-binary,50+,174053,3,7.2,Remote
E-0135,Sales,M2,Austin,2025-04-10,2025-04,2026-06-18,2026-06,Involuntary,Exited,1,14,Non-binary,40-49,194225,3,6.4,Hybrid
E-0136,Engineering,IC5,Singapore,2024-06-18,2024-06,2026-02-19,2026-02,Voluntary,Exited,1,20,Non-binary,20-29,155450,4,6.3,Remote
E-0137,Finance,IC2,Bengaluru,2020-12-13,2020-12,,,,Active,0,67,Female,20-29,74103,2,8.1,Hybrid
E-0138,Sales,M1,Dublin,2025-10-15,2025-10,,,,Active,0,8,Male,30-39,135178,3,8.4,Onsite
E-0139,Support,IC1,Austin,2022-02-20,2022-02,,,,Active,0,52,Non-binary,20-29,66014,4,7.8,Remote
E-0140,Engineering,M1,Austin,2020-03-06,2020-03,2026-02-27,2026-02,Involuntary,Exited,1,72,Non-binary,30-39,164310,3,5.6,Hybrid
E-0141,Engineering,IC2,Dublin,2025-07-19,2025-07,,,,Active,0,11,Male,30-39,75067,3,7.2,Onsite
E-0142,Support,IC2,Singapore,2024-03-17,2024-03,,,,Active,0,27,Male,30-39,74061,3,8.1,Onsite
E-0143,Engineering,IC3,Remote,2022-05-15,2022-05,,,,Active,0,50,Female,50+,92808,3,7,Onsite
E-0144,Support,IC3,Singapore,2025-07-08,2025-07,,,,Active,0,12,Female,30-39,100235,3,7.3,Hybrid
E-0145,Engineering,IC5,Austin,2019-05-04,2019-05,,,,Active,0,86,Non-binary,40-49,164066,2,7.2,Onsite
E-0146,Support,M2,Bengaluru,2020-03-21,2020-03,,,,Active,0,75,Male,20-29,198456,2,6.9,Hybrid
E-0147,Engineering,IC2,Bengaluru,2025-11-16,2025-11,,,,Active,0,7,Female,30-39,81732,3,7.9,Remote
E-0148,Support,IC1,Singapore,2023-05-08,2023-05,2026-06-18,2026-06,Involuntary,Exited,1,37,Female,50+,53206,2,5.8,Remote
E-0149,Marketing,IC5,Singapore,2024-04-11,2024-04,,,,Active,0,27,Male,40-49,161643,2,7.5,Remote
E-0150,Engineering,M1,Remote,2022-05-07,2022-05,,,,Active,0,50,Male,30-39,151211,3,7.5,Hybrid
E-0151,Support,IC4,Remote,2024-09-04,2024-09,,,,Active,0,22,Non-binary,50+,127348,3,7.9,Hybrid
E-0152,Marketing,IC3,Bengaluru,2023-06-22,2023-06,,,,Active,0,36,Male,30-39,95369,3,7.7,Remote
E-0153,Engineering,IC5,Dublin,2022-06-10,2022-06,,,,Active,0,49,Female,30-39,163361,3,7.7,Hybrid
E-0154,People,IC5,Austin,2024-03-16,2024-03,,,,Active,0,27,Non-binary,20-29,170529,3,7.4,Remote
E-0155,Sales,M1,Dublin,2023-10-23,2023-10,,,,Active,0,32,Male,40-49,147121,3,8,Hybrid
E-0156,Support,IC5,Remote,2021-10-04,2021-10,2025-10-04,2025-10,Voluntary,Exited,1,48,Female,20-29,188425,2,5.3,Onsite
E-0157,Engineering,IC4,Bengaluru,2021-08-27,2021-08,,,,Active,0,58,Female,50+,133721,2,7,Onsite
E-0158,Marketing,IC5,Austin,2026-03-02,2026-03,,,,Active,0,4,Female,50+,199346,3,7.5,Onsite
E-0159,Engineering,IC2,Bengaluru,2021-06-02,2021-06,,,,Active,0,61,Female,30-39,81659,3,7.3,Remote
E-0160,Support,IC3,Bengaluru,2025-07-27,2025-07,,,,Active,0,11,Non-binary,30-39,97718,3,7.5,Remote
E-0161,Sales,M1,Austin,2026-01-06,2026-01,,,,Active,0,6,Non-binary,50+,169322,3,7.4,Hybrid
E-0162,Engineering,IC1,Bengaluru,2021-04-15,2021-04,,,,Active,0,62,Male,40-49,63554,3,7.1,Hybrid
E-0163,Marketing,M2,Dublin,2026-04-09,2026-04,,,,Active,0,3,Male,20-29,189254,3,7.8,Hybrid
E-0164,Engineering,IC4,Bengaluru,2023-03-26,2023-03,2026-05-02,2026-05,Voluntary,Exited,1,37,Male,50+,137364,3,6.1,Hybrid
E-0165,Sales,IC5,Austin,2025-12-17,2025-12,,,,Active,0,6,Non-binary,50+,190823,3,7.3,Onsite
E-0166,Engineering,IC2,Austin,2023-08-25,2023-08,,,,Active,0,34,Female,40-49,82065,3,7.7,Onsite
E-0167,Engineering,IC2,Dublin,2024-07-20,2024-07,,,,Active,0,23,Female,30-39,72214,3,7.9,Onsite
E-0168,Sales,IC5,Dublin,2020-03-25,2020-03,,,,Active,0,75,Non-binary,20-29,188263,3,7.6,Remote
E-0169,Finance,M2,Remote,2025-12-24,2025-12,,,,Active,0,6,Non-binary,40-49,172045,4,7.6,Onsite
E-0170,Engineering,IC4,Austin,2023-03-18,2023-03,,,,Active,0,39,Male,50+,156044,3,8.4,Hybrid
E-0171,Marketing,IC4,Singapore,2022-03-16,2022-03,,,,Active,0,51,Female,20-29,144383,3,7.3,Remote
E-0172,Finance,IC5,Dublin,2025-10-28,2025-10,,,,Active,0,8,Male,20-29,160878,3,7.9,Remote
E-0173,Engineering,IC1,Austin,2026-07-07,2026-07,,,,Active,0,0,Non-binary,50+,62976,2,7.8,Onsite
E-0174,Sales,M2,Remote,2024-02-16,2024-02,,,,Active,0,28,Female,30-39,193698,3,8.1,Remote
E-0175,Sales,M1,Dublin,2024-11-20,2024-11,2025-11-10,2025-11,Involuntary,Exited,1,12,Non-binary,40-49,149387,3,5.5,Remote
E-0176,People,M1,Bengaluru,2022-07-16,2022-07,,,,Active,0,47,Male,20-29,160012,3,7.8,Onsite
E-0177,Engineering,IC2,Dublin,2024-03-05,2024-03,,,,Active,0,28,Non-binary,30-39,80003,3,7.6,Onsite
E-0178,Support,IC5,Bengaluru,2026-01-10,2026-01,,,,Active,0,6,Male,40-49,170858,3,7.6,Remote
E-0179,Support,IC4,Remote,2019-09-25,2019-09,,,,Active,0,81,Female,50+,121521,3,8.3,Remote
E-0180,Finance,M2,Remote,2019-04-03,2019-04,,,,Active,0,87,Male,40-49,210770,3,7.9,Hybrid
E-0181,Marketing,IC5,Singapore,2026-02-23,2026-02,,,,Active,0,4,Non-binary,30-39,179063,2,7.2,Onsite
E-0182,Engineering,IC5,Singapore,2022-07-11,2022-07,,,,Active,0,48,Non-binary,50+,175551,3,7.5,Hybrid
E-0183,Sales,IC2,Bengaluru,2023-11-01,2023-11,,,,Active,0,32,Non-binary,20-29,80384,3,8,Onsite
E-0184,Engineering,IC5,Austin,2022-12-04,2022-12,,,,Active,0,43,Female,30-39,199444,3,7.5,Onsite
E-0185,Finance,IC2,Dublin,2019-10-11,2019-10,,,,Active,0,81,Non-binary,30-39,77806,4,8.5,Hybrid
E-0186,Engineering,IC4,Austin,2022-10-09,2022-10,,,,Active,0,45,Female,50+,145448,3,8,Remote
E-0187,Engineering,IC4,Remote,2024-03-28,2024-03,,,,Active,0,27,Non-binary,20-29,129373,3,6.7,Remote
E-0188,Finance,IC2,Bengaluru,2022-07-22,2022-07,,,,Active,0,47,Male,20-29,75199,4,7.8,Remote
E-0189,Engineering,IC4,Bengaluru,2025-04-20,2025-04,,,,Active,0,14,Non-binary,30-39,149790,3,7.7,Onsite
E-0190,People,M1,Remote,2024-12-03,2024-12,,,,Active,0,19,Non-binary,20-29,141659,3,7.3,Onsite
E-0191,Engineering,IC4,Singapore,2020-07-07,2020-07,2026-01-28,2026-01,Voluntary,Exited,1,67,Male,20-29,151013,3,5.7,Hybrid
E-0192,People,M1,Dublin,2025-02-22,2025-02,,,,Active,0,16,Male,50+,132055,2,6.3,Onsite
E-0193,Engineering,IC3,Remote,2025-12-11,2025-12,,,,Active,0,7,Non-binary,50+,97522,3,8,Hybrid
E-0194,Engineering,IC5,Austin,2022-04-01,2022-04,,,,Active,0,51,Female,30-39,198035,3,7.8,Hybrid
E-0195,Engineering,M2,Singapore,2023-05-05,2023-05,,,,Active,0,38,Non-binary,40-49,172709,3,7.2,Hybrid
E-0196,Engineering,M1,Remote,2024-10-08,2024-10,,,,Active,0,21,Male,20-29,149285,4,7.6,Remote
E-0197,Support,IC4,Austin,2020-08-14,2020-08,,,,Active,0,70,Male,20-29,140888,3,7.4,Onsite
E-0198,Engineering,IC5,Singapore,2024-04-07,2024-04,,,,Active,0,27,Non-binary,30-39,203884,3,7.8,Onsite
E-0199,Sales,IC4,Austin,2022-01-18,2022-01,2025-07-19,2025-07,Voluntary,Exited,1,42,Non-binary,50+,163597,3,6,Hybrid
E-0200,Sales,IC2,Bengaluru,2023-11-25,2023-11,,,,Active,0,31,Non-binary,40-49,83361,3,7.4,Onsite
E-0201,Sales,IC1,Austin,2020-11-07,2020-11,,,,Active,0,68,Male,40-49,64680,3,7.3,Onsite
E-0202,Support,IC4,Bengaluru,2023-11-13,2023-11,,,,Active,0,32,Non-binary,40-49,157350,3,7.4,Hybrid
E-0203,Engineering,IC2,Singapore,2021-09-24,2021-09,2025-11-05,2025-11,Involuntary,Exited,1,49,Non-binary,50+,68671,3,5.7,Onsite
E-0204,Support,M2,Austin,2019-11-10,2019-11,,,,Active,0,80,Female,40-49,223156,4,7.2,Onsite
E-0205,Support,M2,Dublin,2024-02-21,2024-02,,,,Active,0,28,Non-binary,20-29,228105,3,7.4,Remote
E-0206,Support,IC4,Bengaluru,2023-07-16,2023-07,,,,Active,0,35,Male,30-39,159680,3,7.5,Hybrid
E-0207,Engineering,IC3,Austin,2021-08-17,2021-08,,,,Active,0,58,Male,50+,92229,2,7.1,Hybrid
E-0208,Engineering,IC4,Dublin,2023-01-03,2023-01,,,,Active,0,42,Female,20-29,154983,3,7.5,Remote
E-0209,Finance,IC1,Bengaluru,2021-06-14,2021-06,,,,Active,0,61,Non-binary,30-39,60982,2,8.1,Hybrid
E-0210,Engineering,IC5,Singapore,2021-12-16,2021-12,,,,Active,0,54,Female,40-49,161403,3,7.2,Hybrid
E-0211,Sales,M2,Dublin,2021-05-13,2021-05,,,,Active,0,62,Non-binary,30-39,202004,4,8.2,Onsite
E-0212,Sales,IC2,Remote,2025-12-10,2025-12,,,,Active,0,7,Male,50+,84592,4,8.1,Remote
E-0213,Marketing,IC1,Bengaluru,2020-09-27,2020-09,,,,Active,0,69,Non-binary,40-49,61549,3,7.3,Remote
E-0214,Sales,IC1,Bengaluru,2025-02-07,2025-02,,,,Active,0,17,Female,20-29,57417,4,8.7,Remote
E-0215,Engineering,IC3,Singapore,2024-09-22,2024-09,,,,Active,0,21,Male,20-29,114383,4,8.2,Remote
E-0216,Sales,M2,Remote,2026-12-13,2026-12,,,,Active,0,0,Female,20-29,172610,3,7.2,Remote
E-0217,Engineering,IC4,Remote,2025-05-23,2025-05,,,,Active,0,13,Non-binary,40-49,146172,3,8.2,Remote
