order_id,customer_id,return_date,sku,price_usd,return_reason,item_condition,return_count_12mo,customer_ltv_usd,disposition
ORD-070038,CUST-2599,2026-01-24,SKU-BTY-520,29.99,Wrong item shipped,Open-Box,1,3961.58,Replace
ORD-070039,CUST-2007,2026-04-03,SKU-APP-007,499.0,Defective,Open-Box,0,5500.16,Refund-Partial
ORD-070040,CUST-5775,2026-05-25,SKU-APP-001,49.99,Better price elsewhere,Damaged,2,3877.63,Recycle
ORD-070041,CUST-5989,2026-04-07,SKU-ELE-210,249.0,Better price elsewhere,Used-Like-New,0,6762.23,Refund-Full
ORD-070042,CUST-9992,2026-05-01,SKU-TOY-410,49.99,Wrong size,New-Sealed,3,577.37,Deny
ORD-070043,CUST-4854,2026-05-27,SKU-HOM-340,29.99,Better price elsewhere,Damaged,3,7364.99,Resell-Open-Box
ORD-070044,CUST-3841,2026-03-23,SKU-TOY-410,499.0,Wrong item shipped,Open-Box,0,4656.25,Refund-Partial
ORD-070045,CUST-3056,2026-05-13,SKU-HOM-340,499.0,Not as described,New-Sealed,0,8478.5,Refund-Full
ORD-070046,CUST-3248,2026-01-05,SKU-BTY-520,499.0,Better price elsewhere,Used-Worn,8,1197.31,Deny
ORD-070047,CUST-8373,2026-05-14,SKU-ELE-204,899.0,Better price elsewhere,Used-Like-New,1,4714.82,Refund-Partial
ORD-070048,CUST-9220,2026-02-14,SKU-APP-001,899.0,Late delivery,Used-Worn,3,2050.54,Recycle
ORD-070049,CUST-2854,2026-05-12,SKU-APP-001,14.99,Wrong item shipped,New-Sealed,1,6006.26,Refund-Partial
ORD-070050,CUST-2449,2026-05-28,SKU-HOM-330,899.0,Changed mind,Used-Worn,1,4472.36,Deny
ORD-070051,CUST-1176,2026-01-22,SKU-HOM-330,14.99,Wrong item shipped,Used-Worn,5,4571.03,Recycle
ORD-070052,CUST-5827,2026-04-19,SKU-HOM-340,499.0,Late delivery,Open-Box,0,8312.08,Refund-Full
ORD-070053,CUST-3770,2026-05-24,SKU-HOM-330,129.0,Wrong size,Used-Like-New,0,4048.21,Deny
ORD-070054,CUST-5552,2026-05-01,SKU-HOM-330,899.0,Late delivery,Open-Box,0,4322.29,Recycle
ORD-070055,CUST-3476,2026-03-09,SKU-HOM-330,14.99,Wrong item shipped,Used-Like-New,2,5152.29,Refund-Partial
ORD-070056,CUST-1542,2026-03-26,SKU-ELE-210,899.0,Damaged in transit,New-Sealed,0,4506.44,Refund-Partial
ORD-070057,CUST-7277,2026-05-27,SKU-ELE-204,899.0,Changed mind,Used-Worn,2,3539.41,Deny
ORD-070058,CUST-2900,2026-02-07,SKU-HOM-340,14.99,Wrong size,Open-Box,1,6433.84,Resell-Open-Box
ORD-070059,CUST-9724,2026-04-16,SKU-HOM-330,899.0,Changed mind,Used-Worn,2,6408.02,Deny
ORD-070060,CUST-5731,2026-04-16,SKU-HOM-330,49.99,Wrong item shipped,Used-Worn,1,3723.51,Deny
ORD-070061,CUST-8074,2026-03-17,SKU-APP-001,29.99,Late delivery,Used-Like-New,5,5436.23,Replace
ORD-070062,CUST-4961,2026-03-26,SKU-APP-007,129.0,Changed mind,Damaged,2,3355.25,Replace
ORD-070063,CUST-2600,2026-02-11,SKU-APP-001,14.99,Defective,Used-Worn,3,151.07,Replace
ORD-070064,CUST-2506,2026-02-24,SKU-HOM-330,129.0,Wrong size,Damaged,0,250.27,Deny
ORD-070065,CUST-7159,2026-02-20,SKU-APP-007,29.99,Not as described,New-Sealed,0,5159.59,Deny
ORD-070066,CUST-8429,2026-02-09,SKU-HOM-330,899.0,Late delivery,Used-Worn,2,689.78,Deny
ORD-070067,CUST-7366,2026-03-09,SKU-ELE-204,29.99,Damaged in transit,New-Sealed,0,577.17,Replace
ORD-070068,CUST-7432,2026-03-06,SKU-BTY-520,29.99,Not as described,Used-Worn,1,7896.55,Refund-Full
ORD-070069,CUST-8234,2026-02-18,SKU-TOY-410,79.99,Late delivery,New-Sealed,1,947.81,Refund-Full
ORD-070070,CUST-1014,2026-01-03,SKU-HOM-330,899.0,Wrong size,Used-Worn,0,4255.58,Replace
ORD-070071,CUST-9039,2026-02-23,SKU-HOM-340,499.0,Wrong item shipped,Used-Worn,1,4404.99,Resell-Open-Box
ORD-070072,CUST-8898,2026-01-18,SKU-ELE-210,14.99,Defective,Damaged,0,5874.26,Recycle
ORD-070073,CUST-2485,2026-03-11,SKU-HOM-330,499.0,Damaged in transit,Damaged,0,8474.78,Replace
ORD-070074,CUST-1644,2026-01-27,SKU-BTY-520,129.0,Better price elsewhere,Open-Box,1,1542.42,Replace
ORD-070075,CUST-4104,2026-04-04,SKU-HOM-340,899.0,Not as described,New-Sealed,0,5397.09,Refund-Partial
ORD-070076,CUST-6041,2026-01-24,SKU-ELE-210,899.0,Wrong item shipped,Damaged,0,6748.65,Resell-Open-Box
ORD-070077,CUST-7643,2026-01-02,SKU-HOM-340,14.99,Defective,Open-Box,0,6142.55,Deny
ORD-070078,CUST-3319,2026-05-15,SKU-ELE-204,79.99,Wrong item shipped,New-Sealed,5,361.62,Resell-Open-Box
ORD-070079,CUST-6035,2026-05-02,SKU-ELE-210,49.99,Defective,Used-Worn,0,5395.99,Recycle
ORD-070080,CUST-4613,2026-02-27,SKU-APP-007,29.99,Defective,Open-Box,0,5077.56,Resell-Open-Box
ORD-070081,CUST-9943,2026-03-26,SKU-TOY-410,249.0,Not as described,Used-Like-New,0,5830.55,Refund-Partial
ORD-070082,CUST-7801,2026-01-19,SKU-ELE-204,249.0,Not as described,Used-Like-New,0,2364.4,Recycle
ORD-070083,CUST-7162,2026-02-15,SKU-ELE-210,14.99,Not as described,New-Sealed,0,6734.39,Resell-Open-Box
ORD-070084,CUST-5648,2026-01-01,SKU-APP-001,49.99,Better price elsewhere,Used-Worn,5,6021.96,Deny
ORD-070085,CUST-3859,2026-02-07,SKU-ELE-204,129.0,Wrong size,Damaged,1,3531.66,Refund-Partial
ORD-070086,CUST-4860,2026-04-20,SKU-APP-007,129.0,Changed mind,New-Sealed,0,88.62,Recycle
ORD-070087,CUST-4409,2026-01-20,SKU-HOM-340,79.99,Late delivery,New-Sealed,1,5343.62,Refund-Partial
ORD-070088,CUST-1706,2026-01-26,SKU-ELE-204,899.0,Wrong size,Used-Like-New,1,1399.97,Replace
ORD-070089,CUST-8424,2026-02-14,SKU-HOM-330,249.0,Wrong size,New-Sealed,1,7571.17,Deny
ORD-070090,CUST-2901,2026-01-18,SKU-ELE-204,49.99,Defective,Open-Box,2,4148.77,Deny
ORD-070091,CUST-6336,2026-04-19,SKU-HOM-340,499.0,Changed mind,New-Sealed,0,5769.4,Replace
ORD-070092,CUST-4615,2026-02-04,SKU-ELE-210,499.0,Defective,Used-Worn,3,3223.25,Recycle
ORD-070093,CUST-3917,2026-04-02,SKU-TOY-410,49.99,Better price elsewhere,Used-Like-New,0,5199.71,Refund-Partial
ORD-070094,CUST-3084,2026-04-24,SKU-ELE-210,249.0,Wrong size,Damaged,8,1758.68,Refund-Full
ORD-070095,CUST-6629,2026-03-05,SKU-APP-007,899.0,Changed mind,Used-Like-New,1,1496.65,Recycle
ORD-070096,CUST-9015,2026-02-26,SKU-ELE-204,79.99,Changed mind,Damaged,0,7291.43,Resell-Open-Box
ORD-070097,CUST-6362,2026-04-09,SKU-APP-001,499.0,Better price elsewhere,Damaged,2,2134.23,Refund-Partial
ORD-070098,CUST-8711,2026-05-05,SKU-APP-001,499.0,Wrong size,Used-Worn,15,388.5,Recycle
ORD-070099,CUST-1203,2026-04-16,SKU-APP-007,899.0,Better price elsewhere,Open-Box,1,752.12,Refund-Partial
ORD-070100,CUST-3650,2026-03-10,SKU-ELE-210,29.99,Wrong item shipped,Damaged,0,5703.35,Deny
ORD-070101,CUST-7641,2026-05-01,SKU-BTY-520,899.0,Not as described,Used-Like-New,2,7436.98,Deny
ORD-070102,CUST-9698,2026-04-23,SKU-APP-001,29.99,Wrong size,Used-Like-New,0,5886.84,Resell-Open-Box
ORD-070103,CUST-1898,2026-03-23,SKU-ELE-210,29.99,Damaged in transit,New-Sealed,1,2886.62,Refund-Full
ORD-070104,CUST-2097,2026-04-12,SKU-BTY-520,14.99,Changed mind,Open-Box,0,1531.01,Replace
ORD-070105,CUST-4437,2026-02-18,SKU-APP-007,899.0,Changed mind,Used-Like-New,2,6406.74,Replace
ORD-070106,CUST-8412,2026-03-17,SKU-TOY-410,129.0,Wrong item shipped,Damaged,0,3200.28,Recycle
ORD-070107,CUST-2075,2026-01-16,SKU-HOM-330,899.0,Changed mind,Used-Worn,1,6809.19,Refund-Full
ORD-070108,CUST-3699,2026-01-13,SKU-ELE-204,129.0,Late delivery,New-Sealed,8,700.2,Deny
ORD-070109,CUST-5803,2026-02-16,SKU-ELE-204,79.99,Better price elsewhere,Damaged,1,5350.48,Refund-Partial
ORD-070110,CUST-4097,2026-04-12,SKU-TOY-410,899.0,Defective,New-Sealed,2,231.53,Refund-Partial
ORD-070111,CUST-6346,2026-05-21,SKU-HOM-340,499.0,Wrong item shipped,Damaged,1,5591.18,Deny
ORD-070112,CUST-6021,2026-05-27,SKU-BTY-520,899.0,Not as described,Used-Like-New,0,1165.01,Refund-Partial
ORD-070113,CUST-3725,2026-04-12,SKU-HOM-330,14.99,Not as described,Damaged,0,2453.03,Replace
ORD-070114,CUST-6187,2026-02-06,SKU-ELE-204,49.99,Not as described,Used-Worn,0,397.73,Replace
ORD-070115,CUST-3423,2026-03-06,SKU-ELE-210,14.99,Damaged in transit,Used-Worn,2,8314.29,Recycle
ORD-070116,CUST-9182,2026-02-18,SKU-HOM-330,29.99,Not as described,Used-Worn,5,3468.55,Replace
ORD-070117,CUST-3409,2026-02-01,SKU-HOM-340,129.0,Wrong item shipped,Used-Like-New,1,2499.04,Deny
ORD-070118,CUST-6047,2026-01-24,SKU-BTY-520,14.99,Wrong size,Used-Worn,0,4705.61,Recycle
ORD-070119,CUST-4197,2026-02-15,SKU-HOM-340,29.99,Changed mind,Used-Like-New,0,5188.88,Refund-Partial
ORD-070120,CUST-9035,2026-01-03,SKU-BTY-520,29.99,Damaged in transit,Damaged,8,3382.88,Recycle
ORD-070121,CUST-7056,2026-05-02,SKU-HOM-340,499.0,Better price elsewhere,Used-Like-New,0,7264.64,Refund-Full
ORD-070122,CUST-2435,2026-03-12,SKU-HOM-340,129.0,Changed mind,Used-Worn,8,7437.85,Deny
ORD-070123,CUST-7944,2026-04-26,SKU-BTY-520,129.0,Better price elsewhere,Open-Box,0,6201.61,Recycle
ORD-070124,CUST-9606,2026-05-03,SKU-ELE-204,79.99,Damaged in transit,New-Sealed,0,8401.83,Recycle
ORD-070125,CUST-3865,2026-04-03,SKU-APP-001,499.0,Wrong item shipped,Damaged,1,2359.63,Refund-Partial
ORD-070126,CUST-5947,2026-02-06,SKU-TOY-410,129.0,Late delivery,Used-Worn,1,406.87,Recycle
ORD-070127,CUST-8742,2026-04-08,SKU-APP-001,14.99,Defective,Used-Like-New,0,2586.43,Resell-Open-Box
ORD-070128,CUST-2093,2026-02-16,SKU-ELE-210,14.99,Damaged in transit,Damaged,0,2392.48,Resell-Open-Box
ORD-070129,CUST-7114,2026-05-14,SKU-HOM-330,899.0,Wrong size,Used-Like-New,8,6964.47,Refund-Partial
ORD-070130,CUST-6855,2026-05-02,SKU-ELE-204,249.0,Not as described,New-Sealed,1,5908.24,Replace
ORD-070131,CUST-2258,2026-03-14,SKU-HOM-340,14.99,Changed mind,Open-Box,0,4525.22,Refund-Full
ORD-070132,CUST-5932,2026-05-25,SKU-ELE-204,249.0,Late delivery,Used-Like-New,3,7036.65,Refund-Full
ORD-070133,CUST-7111,2026-05-19,SKU-HOM-340,49.99,Wrong item shipped,Used-Worn,0,4428.54,Replace
ORD-070134,CUST-9612,2026-02-04,SKU-ELE-210,49.99,Defective,Used-Worn,1,7076.8,Resell-Open-Box
ORD-070135,CUST-6940,2026-01-04,SKU-ELE-204,14.99,Not as described,Used-Worn,1,2682.8,Recycle
ORD-070136,CUST-2943,2026-05-25,SKU-HOM-340,49.99,Changed mind,Open-Box,2,293.02,Deny
ORD-070137,CUST-2287,2026-02-23,SKU-ELE-210,129.0,Better price elsewhere,New-Sealed,0,1150.34,Refund-Full
ORD-070138,CUST-9412,2026-01-25,SKU-BTY-520,499.0,Wrong size,Used-Worn,0,961.06,Refund-Full
ORD-070139,CUST-3028,2026-03-02,SKU-APP-007,129.0,Changed mind,Damaged,2,6425.95,Refund-Partial
ORD-070140,CUST-5544,2026-02-22,SKU-HOM-340,14.99,Damaged in transit,Used-Like-New,0,7197.53,Refund-Partial
ORD-070141,CUST-1229,2026-05-25,SKU-ELE-210,29.99,Changed mind,Open-Box,0,4935.23,Replace
ORD-070142,CUST-8777,2026-02-25,SKU-APP-001,29.99,Damaged in transit,Damaged,5,7828.03,Refund-Partial
ORD-070143,CUST-7948,2026-04-22,SKU-APP-007,49.99,Changed mind,Damaged,3,8341.99,Refund-Partial
ORD-070144,CUST-9123,2026-04-04,SKU-HOM-340,29.99,Damaged in transit,Used-Like-New,1,4441.7,Recycle
ORD-070145,CUST-6111,2026-01-03,SKU-HOM-340,899.0,Wrong item shipped,Open-Box,0,2446.52,Recycle
ORD-070146,CUST-8793,2026-04-10,SKU-TOY-410,79.99,Damaged in transit,Open-Box,3,7610.68,Refund-Full
ORD-070147,CUST-2392,2026-04-22,SKU-APP-007,499.0,Defective,Open-Box,1,5614.73,Resell-Open-Box
ORD-070148,CUST-6548,2026-04-23,SKU-APP-007,49.99,Changed mind,Damaged,0,8290.5,Resell-Open-Box
ORD-070149,CUST-5472,2026-01-08,SKU-TOY-410,899.0,Better price elsewhere,Used-Like-New,0,6079.02,Resell-Open-Box
ORD-070150,CUST-3001,2026-05-13,SKU-BTY-520,129.0,Late delivery,Used-Worn,0,3891.66,Resell-Open-Box
ORD-070151,CUST-2117,2026-02-21,SKU-ELE-204,14.99,Wrong item shipped,New-Sealed,0,496.6,Refund-Partial
ORD-070152,CUST-2253,2026-04-20,SKU-HOM-340,49.99,Wrong item shipped,Used-Worn,0,5316.32,Refund-Partial
ORD-070153,CUST-9856,2026-03-22,SKU-BTY-520,899.0,Wrong size,New-Sealed,1,4633.6,Resell-Open-Box
ORD-070154,CUST-1589,2026-01-13,SKU-BTY-520,249.0,Wrong size,Open-Box,3,3789.6,Recycle
ORD-070155,CUST-7374,2026-03-23,SKU-ELE-204,899.0,Wrong item shipped,New-Sealed,1,2690.28,Recycle
ORD-070156,CUST-1913,2026-04-22,SKU-BTY-520,899.0,Better price elsewhere,Used-Like-New,1,1370.83,Resell-Open-Box
ORD-070157,CUST-1739,2026-05-13,SKU-HOM-340,129.0,Not as described,Used-Like-New,0,287.84,Replace
ORD-070158,CUST-6855,2026-05-01,SKU-HOM-340,499.0,Better price elsewhere,Used-Like-New,0,2966.46,Refund-Full
ORD-070159,CUST-2073,2026-02-08,SKU-ELE-210,129.0,Late delivery,New-Sealed,1,7742.79,Replace
ORD-070160,CUST-9433,2026-02-01,SKU-HOM-340,14.99,Better price elsewhere,Used-Like-New,1,7345.46,Refund-Full
