season,franchise,games,wins,losses,win_pct,avg_elo,pts_per_game,opp_pts_per_game,playoff_games,playoff_wins
1978,Knicks,82,43,39,52.4,1512.0,113.4,114.0,6,2
1978,Lakers,82,45,37,54.9,1550.0,110.3,107.6,3,1
1978,Nets,82,24,58,29.3,1328.0,106.7,112.5,0,0
1978,Nuggets,82,48,34,58.5,1551.0,111.8,110.9,13,6
1978,Pacers,82,31,51,37.8,1444.0,108.6,111.1,0,0
1978,Pistons,82,38,44,46.3,1466.0,109.0,110.2,0,0
1978,Rockets,82,28,54,34.1,1458.0,103.8,107.8,0,0
1978,Sixers,82,55,27,67.1,1625.0,114.7,109.6,10,6
1978,Spurs,82,52,30,63.4,1559.0,114.5,111.1,6,2
1978,Suns,82,49,33,59.8,1557.0,112.3,108.6,2,0
1978,Thunder,82,47,35,57.3,1506.0,104.5,102.9,22,13
1978,Trailblazers,82,58,24,70.7,1681.0,107.7,101.5,6,2
1978,Warriors,82,43,39,52.4,1522.0,106.1,105.7,0,0
1978,Wizards,82,44,38,53.7,1540.0,110.3,109.4,21,14
1979,Bucks,82,38,44,46.3,1505.0,114.1,111.8,0,0
1979,Bulls,82,31,51,37.8,1413.0,104.7,108.7,0,0
1979,Cavaliers,82,30,52,36.6,1454.0,106.5,110.2,0,0
1979,Celtics,82,29,53,35.4,1417.0,108.2,113.3,0,0
1979,Clippers,82,43,39,52.4,1445.0,113.1,114.9,0,0
1979,Hawks,82,46,36,56.1,1528.0,109.1,107.1,9,5
1979,Jazz,82,26,56,31.7,1409.0,108.3,114.6,0,0
1979,Kings,82,48,34,58.5,1538.0,113.1,110.2,5,1
1979,Knicks,82,31,51,37.8,1463.0,107.7,111.1,0,0
1979,Lakers,82,47,35,57.3,1588.0,112.9,109.9,8,3
1979,Nets,82,37,45,45.1,1437.0,107.7,111.9,2,0
1979,Nuggets,82,47,35,57.3,1530.0,110.7,109.5,3,1
1979,Pacers,82,38,44,46.3,1450.0,108.6,110.2,0,0
1979,Pistons,82,30,52,36.6,1439.0,110.0,112.7,0,0
1979,Rockets,82,47,35,57.3,1484.0,113.4,112.4,2,0
1979,Sixers,82,47,35,57.3,1568.0,109.5,107.7,9,5
1979,Spurs,82,48,34,58.5,1591.0,119.3,114.1,14,7
1979,Suns,82,50,32,61.0,1569.0,115.4,111.7,15,9
1979,Thunder,82,52,30,63.4,1578.0,106.6,103.9,17,12
1979,Trailblazers,82,45,37,54.9,1522.0,108.4,107.1,3,1
1979,Warriors,82,38,44,46.3,1517.0,105.1,104.8,0,0
1979,Wizards,82,54,28,65.9,1631.0,114.9,109.9,19,9
1980,Bucks,82,49,33,59.8,1555.0,110.1,106.1,7,3
1980,Bulls,82,30,52,36.6,1419.0,107.5,110.2,0,0
1980,Cavaliers,82,37,45,45.1,1452.0,114.1,113.8,0,0
1980,Celtics,82,61,21,74.4,1595.0,113.5,105.7,9,5
1980,Clippers,82,35,47,42.7,1468.0,107.6,111.7,0,0
1980,Hawks,82,50,32,61.0,1583.0,104.5,101.6,5,1
1980,Jazz,82,24,58,29.3,1367.0,102.4,108.4,0,0
1980,Kings,82,47,35,57.3,1570.0,108.0,104.9,3,1
1980,Knicks,82,39,43,47.6,1457.0,114.0,115.1,0,0
1980,Lakers,82,60,22,73.2,1609.0,115.1,109.2,16,12
1980,Nets,82,34,48,41.5,1442.0,108.3,109.5,0,0
1980,Nuggets,82,30,52,36.6,1448.0,108.3,112.7,0,0
1980,Pacers,82,37,45,45.1,1477.0,111.2,111.9,0,0
1980,Pistons,82,16,66,19.5,1362.0,108.9,117.2,0,0
1980,Rockets,82,41,41,50.0,1506.0,110.8,110.6,7,2
1980,Sixers,82,59,23,72.0,1615.0,109.1,104.9,18,12
1980,Spurs,82,41,41,50.0,1512.0,119.4,119.7,3,1
1980,Suns,82,55,27,67.1,1595.0,111.1,107.5,8,3
1980,Thunder,82,56,26,68.3,1633.0,108.5,103.8,15,7
1980,Trailblazers,82,38,44,46.3,1532.0,102.5,103.3,3,1
1980,Warriors,82,24,58,29.3,1429.0,103.6,108.0,0,0
1980,Wizards,82,39,43,47.6,1462.0,107.0,109.5,2,0
1981,Bucks,82,60,22,73.2,1650.0,113.1,105.9,7,3
1981,Bulls,82,45,37,54.9,1499.0,109.0,107.0,6,2
1981,Cavaliers,82,28,54,34.1,1436.0,105.7,110.6,0,0
1981,Celtics,82,62,20,75.6,1678.0,109.9,104.0,17,12
1981,Clippers,82,36,46,43.9,1438.0,106.5,108.1,0,0
1981,Hawks,82,31,51,37.8,1472.0,104.9,108.0,0,0
1981,Jazz,82,28,54,34.1,1379.0,101.2,107.1,0,0
1981,Kings,82,40,42,48.8,1497.0,106.9,106.9,15,7
1981,Knicks,82,50,32,61.0,1537.0,107.9,106.3,2,0
1981,Lakers,82,54,28,65.9,1639.0,111.2,107.3,3,1
1981,Mavericks,82,15,67,18.3,1240.0,101.5,109.9,0,0
1981,Nets,82,24,58,29.3,1379.0,106.9,113.0,0,0
1981,Nuggets,82,37,45,45.1,1434.0,121.8,122.3,0,0
1981,Pacers,82,44,38,53.7,1524.0,107.6,106.2,2,0
1981,Pistons,82,21,61,25.6,1296.0,99.7,106.0,0,0
1981,Rockets,82,40,42,48.8,1478.0,108.3,107.9,21,12
1981,Sixers,82,62,20,75.6,1696.0,111.7,103.8,16,9
1981,Spurs,82,52,30,63.4,1552.0,112.3,109.4,7,3
1981,Suns,82,57,25,69.5,1640.0,110.0,104.5,7,3
1981,Thunder,82,34,48,41.5,1488.0,104.0,105.7,0,0
1981,Trailblazers,82,45,37,54.9,1493.0,110.7,109.8,3,1
1981,Warriors,82,39,43,47.6,1473.0,109.8,111.0,0,0
1981,Wizards,82,39,43,47.6,1488.0,105.6,105.6,0,0
1982,Bucks,82,55,27,67.1,1639.0,108.4,102.9,6,2
1982,Bulls,82,34,48,41.5,1483.0,106.6,108.6,0,0
1982,Cavaliers,82,15,67,18.3,1317.0,103.2,111.7,0,0
1982,Celtics,82,63,19,76.8,1673.0,112.0,105.6,12,7
1982,Clippers,82,17,65,20.7,1376.0,108.5,115.9,0,0
1982,Hawks,82,42,40,51.2,1479.0,101.0,100.5,2,0
1982,Jazz,82,25,57,30.5,1356.0,110.9,116.6,0,0
1982,Kings,82,30,52,36.6,1419.0,107.1,110.2,0,0
1982,Knicks,82,33,49,40.2,1484.0,106.2,108.9,0,0
1982,Lakers,82,57,25,69.5,1603.0,114.6,109.8,14,12
1982,Mavericks,82,28,54,34.1,1338.0,104.6,109.0,0,0
1982,Nets,82,44,38,53.7,1460.0,106.7,106.0,2,0
1982,Nuggets,82,46,36,56.1,1502.0,126.5,126.0,3,1
1982,Pacers,82,35,47,42.7,1484.0,102.2,104.0,0,0
1982,Pistons,82,39,43,47.6,1467.0,111.1,112.0,0,0
1982,Rockets,82,46,36,56.1,1514.0,105.9,105.9,3,1
1982,Sixers,82,58,24,70.7,1650.0,111.2,105.5,21,12
1982,Spurs,82,48,34,58.5,1543.0,113.1,110.8,9,4
1982,Suns,82,46,36,56.1,1558.0,106.2,102.7,7,2
1982,Thunder,82,52,30,63.4,1557.0,107.3,103.1,8,3
1982,Trailblazers,82,42,40,51.2,1517.0,109.8,109.2,0,0
1982,Warriors,82,45,37,54.9,1510.0,110.9,109.8,0,0
1982,Wizards,82,43,39,52.4,1524.0,103.5,102.6,7,3
1983,Bucks,82,51,31,62.2,1608.0,106.6,102.2,9,5
1983,Bulls,82,28,54,34.1,1417.0,111.0,115.9,0,0
1983,Cavaliers,82,23,59,28.0,1293.0,97.1,104.6,0,0
1983,Celtics,82,56,26,68.3,1660.0,112.1,106.7,7,2
1983,Clippers,82,25,57,30.5,1352.0,108.6,113.4,0,0
1983,Hawks,82,43,39,52.4,1506.0,101.6,102.6,3,1
1983,Jazz,82,30,52,36.6,1387.0,109.0,113.2,0,0
1983,Kings,82,45,37,54.9,1480.0,113.8,112.3,0,0
1983,Knicks,82,44,38,53.7,1495.0,100.0,97.5,6,2
1983,Lakers,82,58,24,70.7,1660.0,115.0,109.5,15,8
1983,Mavericks,82,38,44,46.3,1463.0,112.7,113.1,0,0
1983,Nets,82,49,33,59.8,1571.0,105.8,103.0,2,0
1983,Nuggets,82,45,37,54.9,1509.0,123.2,122.6,8,3
1983,Pacers,82,20,62,24.4,1370.0,108.7,114.5,0,0
1983,Pistons,82,37,45,45.1,1492.0,112.7,113.1,0,0
1983,Rockets,82,14,68,17.1,1323.0,99.3,110.9,0,0
1983,Sixers,82,65,17,79.3,1720.0,112.1,104.4,13,12
1983,Spurs,82,53,29,64.6,1553.0,114.3,110.7,11,6
1983,Suns,82,53,29,64.6,1582.0,107.0,102.0,3,1
1983,Thunder,82,48,34,58.5,1559.0,110.0,106.8,2,0
1983,Trailblazers,82,46,36,56.1,1529.0,107.4,105.3,7,3
1983,Warriors,82,30,52,36.6,1444.0,108.6,112.3,0,0
1983,Wizards,82,42,40,51.2,1512.0,99.2,99.3,0,0
1984,Bucks,82,50,32,61.0,1573.0,105.7,101.5,16,8
1984,Bulls,82,27,55,32.9,1414.0,103.7,108.9,0,0
1984,Cavaliers,82,28,54,34.1,1389.0,102.3,106.5,0,0
1984,Celtics,82,62,20,75.6,1635.0,112.1,105.6,23,15
1984,Clippers,82,30,52,36.6,1400.0,110.7,114.0,0,0
1984,Hawks,82,40,42,48.8,1482.0,101.5,102.8,5,2
1984,Jazz,82,45,37,54.9,1493.0,115.0,113.8,11,5
1984,Kings,82,38,44,46.3,1483.0,110.0,111.5,3,0
1984,Knicks,82,47,35,57.3,1596.0,106.9,103.0,12,6
1984,Lakers,82,54,28,65.9,1585.0,115.6,111.8,21,14
1984,Mavericks,82,43,39,52.4,1497.0,110.4,110.0,10,4
1984,Nets,82,45,37,54.9,1540.0,110.0,108.9,11,5
1984,Nuggets,82,38,44,46.3,1491.0,123.7,124.8,5,2
1984,Pacers,82,26,56,31.7,1370.0,104.5,109.3,0,0
1984,Pistons,82,49,33,59.8,1540.0,117.1,113.5,5,2
1984,Rockets,82,29,53,35.4,1379.0,110.6,113.7,0,0
1984,Sixers,82,52,30,63.4,1633.0,107.8,105.6,5,2
1984,Spurs,82,37,45,45.1,1507.0,120.3,120.5,0,0
1984,Suns,82,41,41,50.0,1518.0,111.0,110.1,17,9
1984,Thunder,82,42,40,51.2,1507.0,108.1,108.3,5,2
1984,Trailblazers,82,48,34,58.5,1566.0,113.1,109.6,5,2
1984,Warriors,82,37,45,45.1,1432.0,109.9,113.3,0,0
1984,Wizards,82,35,47,42.7,1490.0,102.7,105.6,4,1
1985,Bucks,82,59,23,72.0,1639.0,110.9,104.0,8,3
1985,Bulls,82,38,44,46.3,1449.0,108.7,109.6,4,1
1985,Cavaliers,82,36,46,43.9,1411.0,108.6,111.3,4,1
1985,Celtics,82,63,19,76.8,1687.0,114.8,108.1,21,13
1985,Clippers,82,31,51,37.8,1412.0,107.1,111.6,0,0
1985,Hawks,82,34,48,41.5,1471.0,106.6,108.1,0,0
1985,Jazz,82,41,41,50.0,1489.0,109.0,109.1,10,4
1985,Kings,82,31,51,37.8,1423.0,114.8,117.5,0,0
1985,Knicks,82,24,58,29.3,1432.0,105.2,109.8,0,0
1985,Lakers,82,62,20,75.6,1644.0,118.2,110.9,19,15
1985,Mavericks,82,44,38,53.7,1523.0,111.2,109.0,4,1
1985,Nets,82,42,40,51.2,1522.0,109.5,109.2,3,0
1985,Nuggets,82,52,30,63.4,1545.0,120.0,117.6,15,8
1985,Pacers,82,22,60,26.8,1379.0,108.3,114.5,0,0
1985,Pistons,82,46,36,56.1,1572.0,116.0,113.5,9,5
1985,Rockets,82,48,34,58.5,1499.0,111.2,109.5,5,2
1985,Sixers,82,58,24,70.7,1638.0,112.9,108.8,13,8
1985,Spurs,82,41,41,50.0,1491.0,114.8,113.9,5,2
1985,Suns,82,36,46,43.9,1498.0,108.0,110.1,3,0
1985,Thunder,82,31,51,37.8,1443.0,102.1,107.6,0,0
1985,Trailblazers,82,42,40,51.2,1530.0,115.5,112.1,9,4
1985,Warriors,82,22,60,26.8,1358.0,110.4,117.7,0,0
1985,Wizards,82,40,42,48.8,1494.0,105.5,105.8,4,1
1986,Bucks,82,57,25,69.5,1660.0,114.5,105.5,14,7
1986,Bulls,82,30,52,36.6,1413.0,109.3,113.1,3,0
1986,Cavaliers,82,29,53,35.4,1475.0,107.8,110.6,0,0
1986,Celtics,82,67,15,81.7,1709.0,114.1,104.7,18,15
1986,Clippers,82,32,50,39.0,1380.0,108.6,115.5,0,0
1986,Hawks,82,50,32,61.0,1523.0,108.6,106.2,9,4
1986,Jazz,82,42,40,51.2,1496.0,108.2,108.5,4,1
1986,Kings,82,37,45,45.1,1442.0,108.8,111.9,3,0
1986,Knicks,82,23,59,28.0,1370.0,98.7,104.3,0,0
1986,Lakers,82,62,20,75.6,1698.0,117.3,109.5,14,8
1986,Mavericks,82,44,38,53.7,1519.0,115.3,114.2,10,5
1986,Nets,82,39,43,47.6,1502.0,109.1,111.1,3,0
1986,Nuggets,82,47,35,57.3,1558.0,114.8,113.5,10,5
1986,Pacers,82,26,56,31.7,1399.0,103.9,107.2,0,0
1986,Pistons,82,46,36,56.1,1532.0,114.2,113.0,4,1
1986,Rockets,82,51,31,62.2,1549.0,114.4,111.8,20,13
1986,Sixers,82,54,28,65.9,1596.0,110.4,108.0,12,6
1986,Spurs,82,35,47,42.7,1492.0,111.2,113.1,3,0
1986,Suns,82,32,50,39.0,1432.0,110.0,113.0,0,0
1986,Thunder,82,31,51,37.8,1425.0,104.4,104.5,0,0
1986,Trailblazers,82,40,42,48.8,1531.0,115.1,114.0,4,1
1986,Warriors,82,30,52,36.6,1389.0,113.4,116.9,0,0
1986,Wizards,82,39,43,47.6,1484.0,103.0,104.8,5,2
1987,Bucks,82,50,32,61.0,1607.0,110.4,106.5,12,6
1987,Bulls,82,40,42,48.8,1484.0,104.8,103.9,3,0
1987,Cavaliers,82,31,51,37.8,1414.0,104.4,108.2,0,0
1987,Celtics,82,59,23,72.0,1710.0,112.6,106.0,23,13
1987,Clippers,82,12,70,14.6,1309.0,104.5,115.9,0,0
1987,Hawks,82,57,25,69.5,1628.0,110.0,102.8,9,4
1987,Jazz,82,44,38,53.7,1512.0,107.9,107.5,5,2
1987,Kings,82,29,53,35.4,1415.0,110.9,114.1,0,0
1987,Knicks,82,24,58,29.3,1372.0,103.8,110.0,0,0
1987,Lakers,82,65,17,79.3,1680.0,117.8,108.5,18,15
1987,Mavericks,82,55,27,67.1,1607.0,116.7,110.4,4,1
1987,Nets,82,24,58,29.3,1408.0,108.5,113.5,0,0
1987,Nuggets,82,37,45,45.1,1476.0,116.7,117.6,3,0
1987,Pacers,82,41,41,50.0,1480.0,106.1,106.7,4,1
1987,Pistons,82,52,30,63.4,1582.0,111.2,107.8,15,10
1987,Rockets,82,42,40,51.2,1531.0,106.9,105.9,10,5
1987,Sixers,82,45,37,54.9,1546.0,106.5,106.6,5,2
1987,Spurs,82,28,54,34.1,1387.0,108.3,113.4,0,0
1987,Suns,82,36,46,43.9,1428.0,111.1,113.5,0,0
1987,Thunder,82,39,43,47.6,1493.0,113.7,113.3,14,7
1987,Trailblazers,82,49,33,59.8,1547.0,117.9,114.8,4,1
1987,Warriors,82,42,40,51.2,1466.0,112.0,114.4,10,4
1987,Wizards,82,42,40,51.2,1499.0,106.0,107.3,3,0
1988,Bucks,82,42,40,51.2,1560.0,106.1,105.5,5,2
1988,Bulls,82,50,32,61.0,1560.0,105.0,101.6,10,4
1988,Cavaliers,82,42,40,51.2,1496.0,104.5,103.7,5,2
1988,Celtics,82,57,25,69.5,1638.0,113.6,107.7,17,9
1988,Clippers,82,17,65,20.7,1270.0,98.8,109.1,0,0
1988,Hawks,82,50,32,61.0,1617.0,107.9,104.3,12,6
1988,Jazz,82,47,35,57.3,1530.0,108.5,104.8,11,6
1988,Kings,82,24,58,29.3,1378.0,108.0,113.7,0,0
1988,Knicks,82,38,44,46.3,1432.0,105.5,106.0,4,1
1988,Lakers,82,62,20,75.6,1688.0,112.8,107.0,24,15
1988,Mavericks,82,53,29,64.6,1589.0,109.3,104.9,17,10
1988,Nets,82,19,63,23.2,1344.0,100.4,108.5,0,0
1988,Nuggets,82,54,28,65.9,1544.0,116.7,112.7,11,5
1988,Pacers,82,38,44,46.3,1499.0,104.6,105.4,0,0
1988,Pistons,82,54,28,65.9,1634.0,109.2,104.1,23,14
1988,Rockets,82,46,36,56.1,1554.0,109.0,107.6,4,1
1988,Sixers,82,36,46,43.9,1490.0,105.7,107.1,0,0
1988,Spurs,82,31,51,37.8,1409.0,113.6,118.5,3,0
1988,Suns,82,28,54,34.1,1409.0,108.5,113.0,0,0
1988,Thunder,82,44,38,53.7,1522.0,111.4,109.3,5,2
1988,Trailblazers,82,53,29,64.6,1567.0,116.1,111.5,4,1
1988,Warriors,82,20,62,24.4,1373.0,107.0,115.3,0,0
1988,Wizards,82,38,44,46.3,1478.0,105.5,106.3,5,2
1989,Bucks,82,49,33,59.8,1576.0,108.9,105.3,9,3
1989,Bulls,82,47,35,57.3,1557.0,106.4,105.0,17,9
1989,Cavaliers,82,57,25,69.5,1648.0,108.8,101.2,5,2
1989,Celtics,82,42,40,51.2,1537.0,109.2,108.1,3,0
1989,Clippers,82,21,61,25.6,1274.0,106.2,116.2,0,0
1989,Hawks,82,52,30,63.4,1589.0,111.0,106.1,5,2
1989,Heat,82,15,67,18.3,1224.0,97.8,109.0,0,0
1989,Jazz,82,51,31,62.2,1571.0,104.7,99.7,3,0
1989,Kings,82,27,55,32.9,1358.0,105.5,111.0,0,0
1989,Knicks,82,52,30,63.4,1578.0,116.7,112.9,9,5
1989,Lakers,82,57,25,69.5,1639.0,114.7,107.5,15,11
1989,Mavericks,82,38,44,46.3,1493.0,103.5,104.7,0,0
1989,Nets,82,26,56,31.7,1370.0,103.7,110.1,0,0
1989,Nuggets,82,44,38,53.7,1532.0,118.0,116.3,3,0
1989,Pacers,82,28,54,34.1,1419.0,106.9,111.1,0,0
1989,Pelicans,82,20,62,24.4,1276.0,104.5,113.0,0,0
1989,Pistons,82,63,19,76.8,1654.0,106.6,100.8,17,15
1989,Rockets,82,45,37,54.9,1514.0,108.5,107.5,4,1
1989,Sixers,82,46,36,56.1,1517.0,111.9,110.4,3,0
1989,Spurs,82,21,61,25.6,1354.0,105.5,112.8,0,0
1989,Suns,82,55,27,67.1,1553.0,118.6,110.9,12,7
1989,Thunder,82,47,35,57.3,1536.0,112.1,109.2,8,3
1989,Trailblazers,82,39,43,47.6,1526.0,114.6,113.1,3,0
1989,Warriors,82,43,39,52.4,1453.0,116.6,116.9,8,4
1989,Wizards,82,40,42,48.8,1456.0,108.3,110.4,0,0
1990,Bucks,82,44,38,53.7,1516.0,106.0,106.8,4,1
1990,Bulls,82,55,27,67.1,1583.0,109.5,106.2,16,10
1990,Cavaliers,82,42,40,51.2,1490.0,102.6,102.9,5,2
1990,Celtics,82,52,30,63.4,1544.0,110.0,106.0,5,2
1990,Clippers,82,30,52,36.6,1380.0,103.8,107.2,0,0
1990,Hawks,82,41,41,50.0,1513.0,108.5,107.5,0,0
1990,Heat,82,18,64,22.0,1269.0,100.6,110.3,0,0
1990,Jazz,82,55,27,67.1,1573.0,106.8,102.0,5,2
1990,Kings,82,23,59,28.0,1359.0,101.7,106.8,0,0
1990,Knicks,82,45,37,54.9,1546.0,108.3,106.9,10,4
1990,Lakers,82,63,19,76.8,1667.0,110.7,103.9,9,4
1990,Magic,82,18,64,22.0,1297.0,110.9,119.8,0,0
1990,Mavericks,82,47,35,57.3,1471.0,102.2,102.2,3,0
1990,Nets,82,17,65,20.7,1300.0,100.1,108.0,0,0
1990,Nuggets,82,43,39,52.4,1495.0,114.6,113.2,3,0
1990,Pacers,82,42,40,51.2,1486.0,109.3,109.1,3,0
1990,Pelicans,82,19,63,23.2,1270.0,100.4,108.2,0,0
1990,Pistons,82,59,23,72.0,1681.0,104.3,98.3,20,15
1990,Rockets,82,41,41,50.0,1498.0,106.7,105.3,4,1
1990,Sixers,82,53,29,64.6,1562.0,110.2,105.2,10,4
1990,Spurs,82,56,26,68.3,1498.0,106.3,102.8,10,6
1990,Suns,82,54,28,65.9,1627.0,114.9,107.8,16,9
1990,Thunder,82,41,41,50.0,1502.0,106.9,105.9,0,0
1990,Timberwolves,82,22,60,26.8,1319.0,95.2,99.4,0,0
1990,Trailblazers,82,59,23,72.0,1577.0,114.2,107.9,21,12
1990,Warriors,82,37,45,45.1,1447.0,116.3,119.4,0,0
1990,Wizards,82,31,51,37.8,1439.0,107.7,109.9,0,0
1991,Bucks,82,48,34,58.5,1534.0,106.4,104.0,3,0
1991,Bulls,82,61,21,74.4,1667.0,110.0,101.0,17,15
1991,Cavaliers,82,33,49,40.2,1439.0,101.7,104.2,0,0
1991,Celtics,82,56,26,68.3,1619.0,111.5,105.7,11,5
1991,Clippers,82,31,51,37.8,1384.0,103.5,107.0,0,0
1991,Hawks,82,43,39,52.4,1525.0,109.8,109.0,5,2
1991,Heat,82,24,58,29.3,1319.0,101.8,107.8,0,0
1991,Jazz,82,54,28,65.9,1578.0,104.0,100.7,9,4
1991,Kings,82,25,57,30.5,1324.0,96.7,103.5,0,0
1991,Knicks,82,39,43,47.6,1473.0,103.1,103.3,3,0
1991,Lakers,82,58,24,70.7,1645.0,106.3,99.6,19,12
1991,Magic,82,31,51,37.8,1335.0,105.9,109.9,0,0
1991,Mavericks,82,28,54,34.1,1421.0,99.9,104.5,0,0
1991,Nets,82,26,56,31.7,1326.0,102.9,107.5,0,0
1991,Nuggets,82,20,62,24.4,1331.0,119.9,130.8,0,0
1991,Pacers,82,41,41,50.0,1471.0,111.7,112.1,5,2
1991,Pelicans,82,26,56,31.7,1345.0,102.8,108.0,0,0
1991,Pistons,82,50,32,61.0,1616.0,100.1,96.8,15,7
1991,Rockets,82,52,30,63.4,1560.0,106.7,103.2,3,0
1991,Sixers,82,44,38,53.7,1525.0,105.4,105.6,8,4
1991,Spurs,82,55,27,67.1,1609.0,107.1,102.6,4,1
1991,Suns,82,55,27,67.1,1637.0,114.0,107.5,4,1
1991,Thunder,82,41,41,50.0,1486.0,106.6,105.4,5,2
1991,Timberwolves,82,29,53,35.4,1365.0,99.6,103.5,0,0
1991,Trailblazers,82,63,19,76.8,1668.0,114.7,106.0,16,9
1991,Warriors,82,44,38,53.7,1493.0,116.6,115.0,9,4
1991,Wizards,82,30,52,36.6,1395.0,101.4,106.4,0,0
1992,Bucks,82,31,51,37.8,1470.0,105.0,106.7,0,0
1992,Bulls,82,67,15,81.7,1754.0,109.9,99.5,22,15
1992,Cavaliers,82,57,25,69.5,1570.0,108.9,103.4,17,9
1992,Celtics,82,51,31,62.2,1549.0,106.6,103.0,10,6
1992,Clippers,82,45,37,54.9,1475.0,102.9,101.9,5,2
1992,Hawks,82,38,44,46.3,1485.0,106.2,107.7,0,0
1992,Heat,82,38,44,46.3,1417.0,105.0,109.2,3,0
1992,Jazz,82,55,27,67.1,1597.0,108.3,101.9,16,9
1992,Kings,82,29,53,35.4,1354.0,104.3,110.3,0,0
1992,Knicks,82,51,31,62.2,1549.0,101.6,97.7,12,6
1992,Lakers,82,43,39,52.4,1532.0,100.4,101.5,4,1
1992,Magic,82,21,61,25.6,1351.0,101.6,108.5,0,0
1992,Mavericks,82,22,60,26.8,1327.0,97.6,105.3,0,0
1992,Nets,82,40,42,48.8,1414.0,105.4,107.1,4,1
1992,Nuggets,82,24,58,29.3,1333.0,99.7,107.6,0,0
1992,Pacers,82,40,42,48.8,1508.0,112.2,110.3,3,0
1992,Pelicans,82,31,51,37.8,1394.0,109.5,113.4,0,0
1992,Pistons,82,48,34,58.5,1543.0,98.9,96.9,5,2
1992,Rockets,82,42,40,51.2,1488.0,102.0,103.7,0,0
1992,Sixers,82,35,47,42.7,1469.0,101.9,103.2,0,0
1992,Spurs,82,47,35,57.3,1579.0,104.0,100.6,3,0
1992,Suns,82,53,29,64.6,1598.0,112.1,106.2,8,4
1992,Thunder,82,47,35,57.3,1528.0,106.5,104.7,9,4
1992,Timberwolves,82,15,67,18.3,1324.0,100.5,107.5,0,0
1992,Trailblazers,82,57,25,69.5,1648.0,111.4,104.1,21,13
1992,Warriors,82,55,27,67.1,1581.0,118.7,114.8,4,1
1992,Wizards,82,25,57,30.5,1377.0,102.4,106.8,0,0
1993,Bucks,82,28,54,34.1,1417.0,102.3,106.1,0,0
1993,Bulls,82,57,25,69.5,1672.0,105.2,98.9,19,15
1993,Cavaliers,82,54,28,65.9,1630.0,107.7,101.3,9,3
1993,Celtics,82,48,34,58.5,1541.0,103.7,102.8,4,1
1993,Clippers,82,41,41,50.0,1523.0,107.1,106.8,5,2
1993,Hawks,82,43,39,52.4,1471.0,107.5,108.4,3,0
1993,Heat,82,36,46,43.9,1448.0,103.6,104.7,0,0
1993,Jazz,82,47,35,57.3,1559.0,106.2,104.0,5,2
1993,Kings,82,25,57,30.5,1395.0,107.9,111.1,0,0
1993,Knicks,82,60,22,73.2,1631.0,101.6,95.4,15,9
1993,Lakers,82,39,43,47.6,1473.0,104.2,105.5,5,2
1993,Magic,82,41,41,50.0,1470.0,105.5,104.2,0,0
1993,Mavericks,82,11,71,13.4,1187.0,99.3,114.5,0,0
1993,Nets,82,43,39,52.4,1515.0,102.8,101.6,5,2
1993,Nuggets,82,36,46,43.9,1387.0,105.2,106.9,0,0
1993,Pacers,82,41,41,50.0,1518.0,107.8,106.1,4,1
1993,Pelicans,82,44,38,53.7,1467.0,110.1,110.4,9,4
