country,year,coal_twh,gas_twh,oil_twh,nuclear_twh,hydro_twh,solar_twh,wind_twh,other_renewables_twh,total_twh,renewables_share_pct,per_capita_kwh
Argentina,2012,2.64,76.23,19.76,6.4,29.16,0.01,0.37,1.45,136.02,22.8,3226.0
Argentina,2013,2.38,74.7,21.39,6.21,32.77,0.02,0.45,1.53,139.45,24.9,3275.0
Argentina,2014,2.54,76.16,19.79,5.51,32.42,0.02,0.62,1.48,138.54,24.9,3220.0
Argentina,2015,2.39,79.11,22.45,7.04,32.34,0.01,0.59,1.49,145.42,23.7,3345.0
Argentina,2016,1.93,84.28,21.2,8.28,29.75,0.01,0.55,1.18,147.18,21.4,3353.0
Argentina,2017,2.01,91.21,12.62,6.09,31.59,0.02,0.61,1.46,145.61,23.1,3288.0
Argentina,2018,2.03,95.35,7.31,6.87,32.28,0.11,1.41,1.42,146.78,24.0,3287.0
Argentina,2019,1.17,91.31,3.83,8.44,27.5,0.8,5.0,1.48,139.53,24.9,3102.0
Argentina,2020,1.64,88.72,7.65,10.01,23.67,1.34,9.41,2.2,144.64,25.3,3201.0
Argentina,2021,2.38,89.93,13.63,10.17,19.65,2.2,12.94,2.25,153.15,24.2,3380.0
Argentina,2022,2.34,76.6,16.93,7.47,22.77,2.94,14.16,2.4,145.61,29.0,3207.0
Argentina,2023,1.83,76.32,9.8,8.96,31.49,3.28,14.48,2.4,148.56,34.8,3262.0
Australia,1990,123.36,12.57,3.47,0.0,14.76,0.0,0.0,0.76,155.65,10.0,9089.0
Australia,1991,127.22,11.2,2.88,0.0,15.65,0.01,0.0,0.72,157.96,10.4,9103.0
Australia,1992,130.0,11.96,2.39,0.0,15.94,0.01,0.0,0.67,161.4,10.3,9197.0
Australia,1993,133.28,12.25,2.37,0.0,16.39,0.01,0.0,0.67,165.38,10.3,9332.0
Australia,1994,136.89,13.56,2.53,0.0,16.15,0.02,0.01,0.7,170.14,9.9,9507.0
Australia,1995,141.94,13.68,2.77,0.0,15.63,0.02,0.01,0.83,175.22,9.4,9683.0
Australia,1996,148.43,11.94,2.49,0.0,15.97,0.03,0.01,0.95,180.13,9.4,9840.0
Australia,1997,157.47,12.18,2.0,0.0,15.95,0.03,0.01,1.0,188.98,9.0,10212.0
Australia,1998,165.95,14.47,1.77,0.0,15.8,0.04,0.02,1.08,199.47,8.5,10666.0
Australia,1999,171.16,16.12,1.76,0.0,16.28,0.04,0.04,1.13,206.9,8.5,10941.0
Australia,2000,180.26,16.76,2.27,0.0,16.47,0.05,0.13,0.89,216.83,8.1,11333.0
Australia,2001,179.88,24.5,2.62,0.0,16.12,0.05,0.29,0.8,224.26,7.7,11580.0
Australia,2002,171.86,30.55,3.13,0.0,16.09,0.06,0.53,1.27,223.49,8.0,11405.0
Australia,2003,173.61,30.15,3.53,0.0,16.21,0.06,0.7,1.69,225.95,8.3,11400.0
Australia,2004,178.96,27.36,3.53,0.0,15.69,0.07,0.8,2.82,229.23,8.5,11435.0
Australia,2005,182.98,23.26,3.78,0.0,15.47,0.08,1.3,3.87,230.74,9.0,11370.0
Australia,2006,185.76,27.29,3.8,0.0,14.95,0.1,2.16,3.93,237.99,8.9,11558.0
Australia,2007,185.49,33.4,4.01,0.0,13.05,0.11,2.85,4.28,243.19,8.3,11606.0
Australia,2008,184.24,36.31,5.71,0.0,11.82,0.14,3.46,3.7,245.38,7.8,11482.0
Australia,2009,182.02,41.12,6.6,0.0,12.64,0.29,4.44,2.79,249.9,8.1,11472.0
Australia,2010,176.02,46.79,6.0,0.0,13.75,0.98,4.99,2.44,250.97,8.8,11335.0
Australia,2011,171.98,48.78,4.91,0.0,19.57,2.04,6.43,2.57,256.28,11.9,11400.0
Australia,2012,165.38,49.81,5.2,0.0,17.04,2.41,7.72,3.1,250.66,12.1,10969.0
Australia,2013,155.45,52.72,5.86,0.0,19.09,3.85,9.26,3.33,249.56,14.2,10740.0
Australia,2014,155.23,53.66,6.0,0.0,14.48,4.95,9.78,3.55,247.65,13.2,10496.0
Australia,2015,162.2,49.71,6.28,0.0,14.09,6.2,11.83,3.68,253.99,14.1,10606.0
Australia,2016,162.36,48.11,6.02,0.0,17.63,7.44,13.04,3.63,258.23,16.2,10614.0
Australia,2017,159.17,55.09,5.52,0.0,13.5,8.92,13.21,3.56,258.97,15.1,10471.0
Australia,2018,156.56,51.46,5.12,0.0,17.31,12.33,16.26,3.59,262.63,18.8,10455.0
Australia,2019,149.84,55.71,5.09,0.0,14.02,18.3,19.47,3.47,265.9,20.8,10435.0
Australia,2020,142.93,53.05,4.89,0.0,14.42,23.84,22.61,3.41,265.15,24.2,10300.0
Australia,2021,137.4,47.63,5.15,0.0,15.94,31.19,26.8,3.34,267.45,28.9,10304.0
Australia,2022,129.21,50.82,5.45,0.0,16.66,37.54,30.05,3.19,272.92,32.0,10416.0
Australia,2023,125.61,46.67,5.76,0.0,15.08,44.99,31.87,3.13,273.11,34.8,10325.0
Brazil,1990,4.62,0.33,5.07,2.24,206.71,0.0,0.0,3.86,222.82,94.5,1494.0
Brazil,1991,5.53,0.37,5.25,1.44,217.78,0.0,0.0,4.0,234.38,94.6,1545.0
Brazil,1992,5.01,0.39,6.33,1.76,223.34,0.0,0.0,4.93,241.76,94.4,1567.0
Brazil,1993,4.91,0.39,6.22,0.44,235.06,0.0,0.0,4.98,252.0,95.3,1607.0
Brazil,1994,4.97,0.48,6.44,0.06,242.71,0.0,0.0,5.39,260.04,95.4,1633.0
Brazil,1995,5.44,0.56,7.58,2.52,253.91,0.0,0.0,5.59,275.6,94.2,1704.0
Brazil,1996,6.03,0.97,9.33,2.43,265.74,0.0,0.0,6.75,291.25,93.6,1774.0
Brazil,1997,7.31,1.18,9.97,3.17,278.97,0.0,0.0,7.38,307.98,93.0,1848.0
Brazil,1998,6.97,1.32,11.21,3.27,291.47,0.0,0.01,7.5,321.75,92.9,1902.0
Brazil,1999,9.71,2.65,16.64,3.98,293.0,0.0,0.0,8.38,334.73,90.0,1950.0
Brazil,2000,10.93,4.07,15.62,6.05,304.4,0.0,0.0,7.86,348.93,89.5,2005.0
Brazil,2001,11.08,9.92,16.34,14.28,267.88,0.0,0.03,9.02,328.55,84.3,1864.0
Brazil,2002,9.12,12.41,13.93,13.84,286.09,0.0,0.06,10.27,345.72,85.7,1937.0
Brazil,2003,9.01,13.11,11.29,13.36,305.62,0.0,0.06,11.94,364.39,87.2,2017.0
Brazil,2004,10.37,19.26,12.87,11.61,320.8,0.0,0.06,12.52,387.49,86.0,2121.0
Brazil,2005,10.68,18.81,12.54,9.85,337.46,0.0,0.09,13.64,403.07,87.1,2182.0
Brazil,2006,10.47,18.26,13.08,13.75,348.8,0.0,0.24,14.85,419.45,86.8,2247.0
Brazil,2007,10.08,15.5,14.48,12.35,374.02,0.0,0.66,18.06,445.15,88.2,2361.0
Brazil,2008,11.96,28.78,17.94,13.97,369.56,0.0,1.18,19.79,463.18,84.3,2433.0
Brazil,2009,9.97,13.33,14.8,12.96,390.99,0.0,1.24,22.88,466.17,89.0,2427.0
Brazil,2010,11.29,36.48,16.1,14.52,403.29,0.0,2.18,31.94,515.8,84.8,2663.0
Brazil,2011,12.6,25.1,14.74,15.66,428.33,0.0,2.7,32.63,531.76,87.2,2723.0
Brazil,2012,14.47,46.76,19.07,16.04,415.34,0.0,5.05,35.77,552.5,82.6,2806.0
Brazil,2013,21.97,69.0,25.87,15.45,390.99,0.0,6.58,40.97,570.83,76.8,2876.0
Brazil,2014,26.9,81.07,34.45,15.38,373.44,0.02,12.21,47.08,590.55,73.3,2951.0
Brazil,2015,26.98,79.49,28.71,14.73,359.74,0.06,21.63,49.88,581.22,74.2,2882.0
Brazil,2016,25.67,56.48,15.06,15.86,380.91,0.09,33.49,51.33,578.89,80.5,2849.0
Brazil,2017,22.85,65.59,18.12,15.74,370.91,0.83,42.37,52.91,589.32,79.2,2879.0
Brazil,2018,20.8,54.62,15.01,15.67,388.97,3.46,48.48,54.38,601.39,82.4,2918.0
Brazil,2019,21.68,65.96,14.12,16.13,397.88,6.65,55.99,54.92,633.33,81.4,3053.0
Brazil,2020,17.75,59.48,14.56,14.05,396.38,10.75,57.05,58.74,628.76,83.2,3013.0
Brazil,2021,24.24,86.96,22.63,14.7,362.82,16.75,72.29,56.01,656.4,77.4,3132.0
Brazil,2022,14.4,42.11,12.2,14.56,427.11,30.13,81.63,55.02,677.16,87.7,3220.0
Brazil,2023,13.31,38.59,11.53,14.5,426.0,50.63,95.8,57.76,708.12,89.0,3354.0
Canada,1990,82.22,9.65,16.47,72.46,295.68,0.0,0.0,3.95,480.59,62.3,17294.0
Canada,1991,88.48,8.62,14.13,84.34,307.28,0.0,0.0,3.98,507.0,61.4,18006.0
Canada,1992,90.03,13.12,15.59,80.02,315.18,0.0,0.06,4.46,518.63,61.6,18197.0
Canada,1993,82.38,15.3,12.01,93.28,322.21,0.0,0.06,4.82,530.23,61.7,18391.0
Canada,1994,86.65,15.44,10.07,107.08,327.86,0.0,0.06,5.73,553.05,60.3,18974.0
Canada,1995,91.6,19.98,6.3,97.16,334.06,0.0,0.06,7.14,557.87,61.2,18937.0
Canada,1996,89.62,18.62,7.42,92.12,354.59,0.01,0.06,7.53,571.62,63.4,19203.0
Canada,1997,96.93,22.83,12.03,81.95,348.68,0.01,0.06,8.17,572.34,62.4,19041.0
Canada,1998,105.99,26.42,16.86,70.99,330.87,0.01,0.06,8.99,561.99,60.5,18529.0
Canada,1999,106.19,27.88,14.82,72.98,345.0,0.01,0.16,8.94,577.77,61.3,18882.0
Canada,2000,116.23,35.83,13.51,72.29,356.76,0.02,0.26,8.92,603.82,60.6,19546.0
Canada,2001,111.69,42.29,16.08,76.16,331.52,0.02,0.33,9.67,587.76,58.1,18830.0
Canada,2002,110.7,38.83,15.51,75.0,349.27,0.02,0.41,10.05,599.79,60.0,19019.0
Canada,2003,109.56,38.73,19.34,74.37,336.14,0.02,0.69,9.42,588.27,58.9,18478.0
Canada,2004,99.9,40.44,19.25,89.76,338.4,0.01,0.94,9.8,598.5,58.3,18626.0
Canada,2005,102.86,36.88,16.65,91.4,361.96,0.02,1.57,9.16,620.5,60.1,19128.0
Canada,2006,95.92,40.42,10.49,97.28,352.89,0.02,2.47,8.94,608.43,59.9,18573.0
Canada,2007,106.47,43.01,12.23,92.83,367.62,0.03,3.01,8.99,634.19,59.9,19164.0
Canada,2008,100.8,39.63,10.03,95.35,377.49,0.04,3.79,7.98,635.11,61.3,18987.0
Canada,2009,84.72,45.27,10.04,89.46,368.69,0.11,6.64,8.94,613.87,62.6,18148.0
Canada,2010,86.45,52.78,7.1,90.03,351.39,0.26,8.72,10.3,607.03,61.1,17751.0
Canada,2011,79.9,62.53,6.21,92.94,375.72,0.57,10.19,10.21,638.27,62.2,18471.0
Canada,2012,69.35,63.24,6.38,94.2,380.27,0.88,11.31,10.91,636.54,63.4,18227.0
Canada,2013,70.54,60.29,6.66,102.72,391.79,1.5,11.15,11.04,655.69,63.4,18578.0
Canada,2014,69.38,65.05,4.76,106.54,382.5,2.12,12.82,9.8,652.97,62.4,18324.0
Canada,2015,64.96,67.98,5.0,101.1,382.19,2.89,26.97,9.99,661.08,63.8,18383.0
Canada,2016,65.02,65.82,4.84,100.72,385.43,3.01,30.93,11.36,667.13,64.6,18351.0
Canada,2017,62.81,61.46,3.92,100.6,394.59,3.31,31.51,11.15,669.35,65.8,18185.0
Canada,2018,53.02,70.74,4.02,100.03,385.89,3.49,33.47,10.54,661.2,65.5,17729.0
Canada,2019,50.14,72.94,3.42,100.49,381.77,3.75,32.88,10.31,655.7,65.4,17354.0
Canada,2020,39.04,75.59,6.96,97.51,386.55,4.07,35.76,10.41,655.89,66.6,17183.0
Canada,2021,34.83,83.6,6.6,91.98,382.43,5.11,37.3,10.55,652.4,66.7,16966.0
Canada,2022,26.49,90.44,8.05,86.63,397.73,5.74,39.48,9.52,664.08,68.1,17106.0
Canada,2023,23.74,102.88,6.89,88.43,360.74,8.4,40.51,9.8,641.39,65.4,16321.0
China,1990,441.25,2.77,50.37,0.0,126.74,0.0,0.0,0.06,621.2,20.4,538.0
China,1991,498.43,2.43,51.92,0.0,124.69,0.0,0.01,0.06,677.55,18.4,579.0
China,1992,567.33,2.47,53.21,0.0,130.69,0.0,0.13,0.11,753.94,17.4,636.0
China,1993,589.23,3.12,65.45,1.6,151.85,0.0,0.21,0.12,811.59,18.8,678.0
China,1994,693.41,3.15,48.2,14.76,167.43,0.01,0.38,0.46,927.8,18.1,767.0
China,1995,741.89,3.0,55.09,12.83,190.58,0.01,0.62,3.01,1007.03,19.3,825.0
China,1996,824.18,2.83,50.35,14.34,187.97,0.01,0.09,1.53,1081.31,17.5,878.0
China,1997,867.03,8.08,47.12,14.42,195.98,0.01,0.2,2.72,1135.55,17.5,915.0
China,1998,891.67,6.09,53.39,14.1,198.89,0.01,0.36,2.48,1167.0,17.3,933.0
China,1999,969.68,4.81,50.26,14.95,196.58,0.02,0.47,2.52,1239.3,16.1,983.0
China,2000,1060.26,5.77,47.27,16.74,222.41,0.02,0.59,2.54,1355.6,16.6,1068.0
China,2001,1129.14,4.93,48.52,17.47,277.43,0.03,0.72,2.55,1480.79,19.0,1158.0
China,2002,1282.57,4.19,50.71,25.13,287.97,0.05,0.84,2.55,1654.01,17.6,1285.0
China,2003,1519.97,5.16,54.83,43.34,283.68,0.06,1.0,2.54,1910.58,15.0,1476.0
China,2004,1722.42,7.46,65.53,50.47,353.54,0.08,1.28,2.53,2203.31,16.2,1692.0
China,2005,1980.15,12.14,50.51,53.09,397.02,0.08,1.95,5.32,2500.26,16.2,1909.0
China,2006,2302.42,23.82,37.92,54.84,435.79,0.09,3.71,7.13,2865.72,15.6,2174.0
China,2007,2656.7,33.91,28.09,62.13,485.26,0.11,5.48,9.86,3281.54,15.3,2475.0
China,2008,2708.91,34.57,18.81,68.39,636.96,0.15,13.1,14.87,3495.76,19.0,2621.0
China,2009,2911.52,56.56,12.12,70.05,615.64,0.28,27.61,20.86,3714.64,17.9,2767.0
China,2010,3233.6,77.73,34.71,74.74,711.38,0.7,49.4,24.9,4207.16,18.7,3113.0
China,2011,3690.87,108.77,33.8,87.2,688.04,2.61,74.1,27.63,4713.02,16.8,3465.0
China,2012,3748.19,110.25,31.22,98.32,862.79,3.59,103.05,30.13,4987.54,20.0,3642.0
China,2013,4077.37,116.39,33.0,111.5,909.61,8.37,138.26,37.13,5431.63,20.1,3939.0
China,2014,4203.06,133.28,35.66,133.22,1059.69,23.51,159.76,46.27,5794.45,22.2,4175.0
China,2015,4046.17,166.91,36.46,171.38,1114.52,39.48,185.59,54.07,5814.58,24.0,4165.0
China,2016,4156.35,188.28,52.56,213.18,1153.27,66.53,240.86,62.13,6133.16,24.8,4368.0
China,2017,4430.03,203.2,56.05,248.1,1165.06,117.8,304.6,79.6,6604.44,25.2,4676.0
China,2018,4763.85,215.5,56.4,295.0,1198.89,176.9,365.8,93.8,7166.14,25.6,5050.0
China,2019,4855.12,232.5,52.47,348.7,1272.54,224.0,405.3,112.8,7503.43,26.9,5271.0
China,2020,4921.89,252.5,53.47,366.2,1321.71,261.1,466.5,135.7,7779.07,28.1,5455.0
China,2021,5333.8,287.1,57.06,407.5,1300.0,327.0,655.8,166.0,8534.26,28.7,5983.0
China,2022,5414.72,275.62,69.93,417.78,1298.12,427.27,762.67,182.6,8848.71,30.2,6209.0
China,2023,5752.74,297.8,76.97,434.72,1226.0,584.15,885.87,198.2,9456.45,30.6,6647.0
Denmark,1990,23.56,0.69,0.86,0.0,0.03,0.0,0.61,0.19,25.94,3.2,5046.0
Denmark,1991,33.44,0.83,1.12,0.0,0.03,0.0,0.74,0.29,36.45,2.9,7072.0
Denmark,1992,26.96,1.08,1.2,0.0,0.03,0.0,0.92,0.41,30.6,4.4,5917.0
Denmark,1993,29.33,1.59,1.25,0.0,0.03,0.0,1.03,0.55,33.78,4.8,6510.0
Denmark,1994,33.29,2.28,3.07,0.0,0.03,0.0,1.14,0.57,40.38,4.3,7756.0
Denmark,1995,27.36,3.63,3.73,0.0,0.03,0.0,1.18,0.65,36.58,5.1,6990.0
Denmark,1996,39.67,5.68,5.95,0.0,0.02,0.0,1.23,0.83,53.38,3.9,10142.0
Denmark,1997,28.76,6.78,5.67,0.0,0.02,0.0,1.93,0.98,44.14,6.6,8352.0
Denmark,1998,23.65,8.13,5.21,0.0,0.03,0.0,2.82,1.08,40.92,9.6,7715.0
Denmark,1999,20.08,9.06,5.2,0.0,0.03,0.0,3.03,1.32,38.72,11.3,7276.0
Denmark,2000,16.67,8.77,4.84,0.0,0.03,0.0,4.24,1.3,35.85,15.5,6714.0
Denmark,2001,17.82,9.27,4.6,0.0,0.03,0.0,4.31,1.51,37.54,15.6,7005.0
Denmark,2002,18.26,9.59,4.46,0.0,0.03,0.0,4.88,1.88,39.1,17.4,7273.0
Denmark,2003,25.31,9.76,2.83,0.0,0.02,0.0,5.56,2.49,45.97,17.6,8528.0
Denmark,2004,18.67,9.94,2.1,0.0,0.03,0.0,6.59,2.91,40.24,23.7,7446.0
Denmark,2005,15.46,8.78,2.04,0.0,0.02,0.0,6.61,3.17,36.08,27.2,6657.0
Denmark,2006,24.57,9.4,2.28,0.0,0.02,0.0,6.1,3.07,45.44,20.2,8357.0
Denmark,2007,19.89,7.04,1.91,0.0,0.03,0.0,7.17,3.1,39.14,26.3,7166.0
Denmark,2008,17.46,7.08,1.84,0.0,0.03,0.0,6.93,3.14,36.48,27.7,6640.0
Denmark,2009,17.69,6.67,1.82,0.0,0.02,0.0,6.73,3.32,36.25,27.8,6563.0
Denmark,2010,17.01,7.91,1.4,0.0,0.02,0.01,7.81,4.59,38.75,32.1,6985.0
Denmark,2011,13.98,5.84,1.12,0.0,0.02,0.01,9.77,4.37,35.11,40.4,6302.0
Denmark,2012,10.54,4.19,1.0,0.0,0.02,0.1,10.27,4.45,30.57,48.5,5467.0
Denmark,2013,14.29,3.42,0.94,0.0,0.01,0.52,11.12,4.31,34.61,46.1,6163.0
Denmark,2014,11.06,2.1,0.89,0.0,0.02,0.6,13.08,4.29,32.04,56.1,5677.0
Denmark,2015,7.11,1.82,0.92,0.0,0.02,0.6,14.13,4.18,28.78,65.8,5064.0
Denmark,2016,8.87,2.26,0.88,0.0,0.02,0.74,12.78,4.85,30.4,60.5,5307.0
Denmark,2017,6.21,2.02,0.87,0.0,0.02,0.75,14.78,6.25,30.9,70.5,5360.0
Denmark,2018,6.57,2.07,0.82,0.0,0.01,0.95,13.9,5.89,30.21,68.7,5214.0
Denmark,2019,3.31,2.1,0.89,0.0,0.02,0.96,16.15,5.94,29.37,78.5,5051.0
Denmark,2020,3.06,1.18,0.89,0.0,0.02,1.18,16.33,5.92,28.58,82.0,4901.0
Denmark,2021,4.37,1.54,0.91,0.0,0.02,1.31,16.05,8.72,32.92,79.3,5621.0
Denmark,2022,4.43,1.02,1.28,0.0,0.01,2.38,19.02,7.02,35.16,80.9,5956.0
Denmark,2023,2.53,1.0,1.08,0.0,0.02,3.66,19.39,6.21,33.89,86.4,5698.0
Egypt,1990,0.0,16.45,15.55,0.0,9.95,0.0,0.0,0.0,41.95,23.7,718.0
Egypt,1991,0.0,20.41,12.95,0.0,9.92,0.0,0.0,0.0,43.28,22.9,721.0
Egypt,1992,0.0,22.94,12.24,0.0,9.8,0.0,0.0,0.0,44.99,21.8,732.0
Egypt,1993,0.0,26.17,10.47,0.0,10.09,0.0,0.0,0.0,46.74,21.6,743.0
Egypt,1994,0.0,29.29,8.53,0.0,10.73,0.0,0.0,0.0,48.55,22.1,755.0
Egypt,1995,0.0,30.45,9.01,0.0,11.19,0.0,0.0,0.0,50.65,22.1,772.0
Egypt,1996,0.0,31.51,10.57,0.0,11.48,0.0,0.0,0.0,53.57,21.4,799.0
Egypt,1997,0.0,32.68,12.33,0.0,11.77,0.0,0.0,0.0,56.78,20.7,830.0
Egypt,1998,0.0,32.53,16.06,0.0,12.1,0.0,0.0,0.0,60.7,19.9,868.0
Egypt,1999,0.0,37.23,15.05,0.0,13.44,0.0,0.01,0.0,65.73,20.5,919.0
Egypt,2000,0.0,42.19,16.87,0.0,14.18,0.0,0.08,0.0,73.32,19.4,1003.0
Egypt,2001,0.0,48.47,17.65,0.0,14.41,0.0,0.18,0.0,80.71,18.1,1081.0
Egypt,2002,0.0,57.45,14.58,0.0,13.99,0.0,0.21,0.0,86.23,16.5,1131.0
Egypt,2003,0.0,64.02,14.94,0.0,12.94,0.0,0.29,0.0,92.19,14.4,1184.0
Egypt,2004,0.0,74.45,10.47,0.0,12.83,0.0,0.5,0.0,98.25,13.6,1236.0
Egypt,2005,0.0,76.79,15.0,0.0,12.64,0.0,0.51,0.0,104.94,12.5,1294.0
Egypt,2006,0.0,83.06,15.21,0.0,12.78,0.0,0.61,0.0,111.66,12.0,1350.0
Egypt,2007,0.0,89.21,15.77,0.0,14.22,0.0,0.66,0.0,119.86,12.4,1422.0
Egypt,2008,0.0,94.86,17.91,0.0,15.1,0.0,0.93,0.0,128.8,12.4,1500.0
Egypt,2009,0.0,98.74,20.72,0.0,13.77,0.0,1.04,0.0,134.27,11.0,1534.0
Egypt,2010,0.0,110.1,19.94,0.0,12.95,0.03,1.41,0.0,144.43,10.0,1619.0
Egypt,2011,0.0,117.46,17.38,0.0,12.99,0.24,1.49,0.0,149.56,9.8,1642.0
Egypt,2012,0.0,126.56,21.41,0.0,13.03,0.5,1.34,0.0,162.84,9.1,1748.0
Egypt,2013,0.0,123.17,27.06,0.0,13.24,0.03,1.58,0.0,165.08,9.0,1732.0
Egypt,2014,0.0,124.64,31.84,0.0,13.59,0.14,1.03,0.0,171.24,8.6,1756.0
Egypt,2015,0.0,129.81,36.41,0.0,13.68,0.04,1.89,0.0,181.83,8.6,1826.0
Egypt,2016,0.0,138.47,33.89,0.0,13.2,0.23,2.4,0.0,188.19,8.4,1851.0
Egypt,2017,0.0,151.93,25.78,0.0,12.79,0.6,2.11,0.0,193.21,8.0,1863.0
Egypt,2018,0.0,167.18,15.75,0.0,12.92,0.55,2.99,0.0,199.39,8.3,1887.0
Egypt,2019,0.0,171.82,9.16,0.0,13.12,1.49,4.98,0.0,200.57,9.8,1865.0
Egypt,2020,0.0,166.86,7.98,0.0,14.08,4.45,5.23,0.0,198.6,12.0,1817.0
Egypt,2021,0.0,179.45,4.85,0.0,14.9,4.97,5.49,0.0,209.66,12.1,1890.0
Egypt,2022,0.0,183.07,8.04,0.0,14.71,5.0,5.9,0.0,216.72,11.8,1924.0
Egypt,2023,0.0,179.37,16.58,0.0,15.05,4.93,5.99,0.0,221.92,11.7,1938.0
France,1990,31.47,3.03,12.84,314.08,52.71,0.0,0.0,1.91,416.04,13.1,7300.0
France,1991,39.61,3.05,17.91,331.34,56.32,0.0,0.0,2.11,450.34,13.0,7863.0
France,1992,34.23,3.18,13.06,338.45,67.48,0.0,0.0,2.14,458.54,15.2,7967.0
France,1993,20.96,3.5,10.15,368.19,63.3,0.0,0.0,1.97,468.07,13.9,8098.0
France,1994,20.9,3.63,9.14,359.98,77.03,0.0,0.0,2.16,472.84,16.7,8152.0
France,1995,24.18,3.84,10.5,377.23,71.33,0.0,0.0,2.33,489.41,15.1,8410.0
France,1996,28.04,4.12,11.19,397.34,64.67,0.0,0.01,2.42,507.79,13.2,8698.0
France,1997,22.18,4.9,11.96,395.48,62.11,0.0,0.01,2.67,499.31,13.0,8525.0
France,1998,33.53,4.97,16.0,387.99,60.77,0.0,0.02,2.65,505.93,12.5,8607.0
France,1999,29.28,7.7,14.61,394.24,70.82,0.0,0.04,2.85,519.54,14.2,8793.0
France,2000,27.0,11.51,11.06,415.16,64.78,0.01,0.05,2.99,532.56,12.7,8953.0
France,2001,20.48,15.15,9.8,421.08,72.62,0.01,0.13,3.33,542.6,14.0,9058.0
France,2002,23.66,18.37,9.76,436.76,58.88,0.01,0.27,3.53,551.24,11.4,9137.0
France,2003,26.26,19.37,10.96,441.07,57.35,0.01,0.39,3.72,559.13,11.0,9205.0
France,2004,24.37,21.05,10.22,448.24,58.04,0.01,0.59,3.78,566.3,11.0,9257.0
France,2005,27.51,23.07,12.05,451.53,50.14,0.01,0.96,3.87,569.14,9.7,9236.0
France,2006,22.89,21.76,11.55,450.19,54.88,0.01,2.18,3.84,567.3,10.7,9143.0
France,2007,24.45,21.99,11.37,439.73,55.99,0.02,4.07,4.22,561.84,11.4,8999.0
France,2008,23.06,21.88,10.26,439.45,62.16,0.04,5.69,4.44,566.98,12.8,9031.0
France,2009,21.67,20.5,8.81,409.74,55.49,0.17,7.91,4.58,528.87,12.9,8381.0
France,2010,23.36,23.76,10.04,428.52,61.2,0.62,9.94,4.92,562.36,13.6,8868.0
France,2011,17.39,29.49,12.36,442.39,45.74,2.33,12.37,5.58,567.65,11.6,8907.0
France,2012,21.46,22.75,12.71,425.41,59.83,4.43,15.18,5.81,567.58,15.0,8860.0
France,2013,23.84,18.39,11.41,423.68,71.92,5.19,16.14,6.18,576.75,17.2,8957.0
France,2014,11.26,13.16,11.38,436.48,63.77,6.39,17.32,6.55,566.31,16.6,8754.0
France,2015,11.89,21.14,11.84,437.43,55.56,7.75,21.42,7.11,574.14,16.0,8844.0
France,2016,10.23,34.97,11.44,403.2,60.84,8.66,21.38,8.12,558.84,17.7,8586.0
