ALREADY_COVERED | deepseek/deepseek-v4-pro |  | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/014-manual-testing-playbook-validation
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=3 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/030-any-type-justification-sweep
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/025-parent-documentation-drift-refresh
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/001-advisor-hook-brief-improvements
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/007-cross-skill-enhancement-edge-propagation
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/001-skill-graph/006-system-skill-advisor-package-extraction/029-python-package-header-policy
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=3 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/003-embedding-cache-cosine-wiring
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/005-routing-weight-sweep-harness
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/002-semantic-routing-lane
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/004-ablation-sweep-and-weight-promotion
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=3 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/007-hard-intent-corpus-resweep
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/006-seeded-corpus-evaluation-sweep
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/003-smart-remediation-opencode-plugin
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/002-skill-advisor-scoring-engine/008-routing-confidence-calibration
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=4 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/005-advisor-setup-command
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/001-memory-search-routing-tuning
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=7 semi=0 marker=1 secs=7 date=1 leak=8 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/002-advisor-phrase-booster-tuning
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/004-skill-advisor-production-hardening/002-advisor-plugin-hardening
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/004-skill-advisor-production-hardening/004-devin-advisor-hook-integration
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/004-skill-advisor-production-hardening/001-deferred-remediation-telemetry-run
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=4 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/004-skill-advisor-production-hardening/003-advisor-standards-alignment
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/002-code-folder-readme-coverage
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/001-documentation-quality-audit-research
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/003-fix-documentation-config-drift
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=2 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/002-fix-documentation-bugs
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/001-documentation-code-alignment
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/003-skill-advisor-routing-engine/004-advisor-hook-surface-integration
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/003-readme-problem-first-rewrite
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/005-content-additions-hvr-polish
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/007-finalize-documentation-quality-refactor
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/004-sk-doc-type-validation-alignment
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/008-tier-d-documentation-execution
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/007-reference-template-alignment
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=10 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/005-cross-skill-documentation-decoupling
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/004-documentation-quality-refactor/006-clean-deferred-documentation
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=7 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/002-mcp-native-scenarios
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/004-shell-python-daemon
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/001-preconditions-and-build
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/005-skill-advisor-documentation/006-skill-readme-refinement-survey
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/002-scorer-p0-routing-fixes
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/003-cli-hooks-and-plugin
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=2 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/004-semantic-shadow-doc-sync
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/001-advisor-validate-alias-matching
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/006-playbook-vitest-path-fix
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/006-p1-routing-tuning
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/003-pc005-bench-doc-and-gates
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=1 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/005-opencode-bridge-native-route
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/002-manifest-driven-template-design
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/002-skill-advisor/006-playbook-run-and-remediation/005-finding-remediation/007-harness-alias-and-stale-path
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/004-fix-template-deferred-followups
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=1 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/001-template-level-consolidation-research
GATE_RESULT=FAIL | deepseek/deepseek-v4-pro | GATE dash=1 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/003-manifest-template-implementation-plan
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/006-command-markdown-yaml-workflow-alignment
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/007-sweep-fleet-marker-validation
GATE_RESULT=PASS | minimax/MiniMax-M2.7 | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/008-archive-fleet-marker-validation-scaffold
GATE_RESULT=FAIL | minimax/MiniMax-M2.7 | GATE dash=0 semi=1 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/004-literal-spec-folder-names
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/009-harden-deep-review-iteration-prompts
GATE_RESULT=PASS | deepseek/deepseek-v4-pro | GATE dash=0 semi=0 marker=1 secs=7 date=1 leak=0 | 002-spec-kit-internals/003-template-levels/005-skill-reference-asset-doc-alignment
