14:33:56 DRIVER START
14:33:56 SKIP  sk-code p1 luna run1 (cached)
14:45:58 RUN   system-deep-loop p1 minimax run2 exit=0 elapsed=12s
14:46:15 RUN   system-deep-loop p2 luna run1 exit=0 elapsed=17s
14:47:15 RUN   system-deep-loop p2 luna run2 exit=0 elapsed=60s
14:47:27 RUN   system-deep-loop p2 sol run1 exit=0 elapsed=12s
14:47:39 RUN   system-deep-loop p2 sol run2 exit=0 elapsed=12s
14:47:53 RUN   system-deep-loop p2 minimax run1 exit=0 elapsed=14s
14:48:05 RUN   system-deep-loop p2 minimax run2 exit=0 elapsed=12s
14:48:56 RUN   cli-external-orchestration p1 luna run1 exit=0 elapsed=51s
14:49:17 RUN   cli-external-orchestration p1 luna run2 exit=0 elapsed=21s
14:49:28 RUN   cli-external-orchestration p1 sol run1 exit=0 elapsed=11s
14:49:39 RUN   cli-external-orchestration p1 sol run2 exit=0 elapsed=11s
14:49:53 RUN   cli-external-orchestration p1 minimax run1 exit=0 elapsed=14s
14:50:05 RUN   cli-external-orchestration p1 minimax run2 exit=0 elapsed=12s
14:50:17 RUN   cli-external-orchestration p2 luna run1 exit=0 elapsed=12s
14:51:08 RUN   cli-external-orchestration p2 luna run2 exit=0 elapsed=51s
14:51:20 RUN   cli-external-orchestration p2 sol run1 exit=0 elapsed=12s
14:51:34 RUN   cli-external-orchestration p2 sol run2 exit=0 elapsed=14s
14:51:47 RUN   cli-external-orchestration p2 minimax run1 exit=0 elapsed=13s
14:51:57 RUN   cli-external-orchestration p2 minimax run2 exit=0 elapsed=10s
14:54:27 RUN   sk-prompt p1 luna run1 exit=124 elapsed=150s
14:56:29 RUN   sk-prompt p1 luna run2 exit=0 elapsed=122s
14:56:41 RUN   sk-prompt p1 sol run1 exit=0 elapsed=12s
14:56:54 RUN   sk-prompt p1 sol run2 exit=0 elapsed=13s
14:57:07 RUN   sk-prompt p1 minimax run1 exit=0 elapsed=13s
14:57:19 RUN   sk-prompt p1 minimax run2 exit=0 elapsed=12s
14:59:49 RUN   sk-prompt p2 luna run1 exit=124 elapsed=150s
15:00:27 RUN   sk-prompt p2 luna run2 exit=0 elapsed=38s
15:00:48 RUN   sk-prompt p2 sol run1 exit=0 elapsed=21s
15:01:01 RUN   sk-prompt p2 sol run2 exit=0 elapsed=13s
15:01:15 RUN   sk-prompt p2 minimax run1 exit=0 elapsed=14s
15:01:28 RUN   sk-prompt p2 minimax run2 exit=0 elapsed=13s
15:02:00 RUN   sk-design p1 luna run1 exit=0 elapsed=32s
15:02:20 RUN   sk-design p1 luna run2 exit=0 elapsed=20s
15:02:31 RUN   sk-design p1 sol run1 exit=0 elapsed=11s
15:02:46 RUN   sk-design p1 sol run2 exit=0 elapsed=15s
15:03:00 RUN   sk-design p1 minimax run1 exit=0 elapsed=14s
15:03:13 RUN   sk-design p1 minimax run2 exit=0 elapsed=13s
15:05:41 RUN   sk-design p2 luna run1 exit=0 elapsed=148s
15:06:02 RUN   sk-design p2 luna run2 exit=0 elapsed=21s
15:06:13 RUN   sk-design p2 sol run1 exit=0 elapsed=11s
15:06:28 RUN   sk-design p2 sol run2 exit=0 elapsed=15s
15:06:39 RUN   sk-design p2 minimax run1 exit=0 elapsed=11s
15:06:55 RUN   sk-design p2 minimax run2 exit=0 elapsed=16s
15:08:14 RUN   sk-doc p1 luna run1 exit=0 elapsed=79s
15:08:27 RUN   sk-doc p1 luna run2 exit=0 elapsed=13s
15:08:40 RUN   sk-doc p1 sol run1 exit=0 elapsed=13s
15:08:55 RUN   sk-doc p1 sol run2 exit=0 elapsed=15s
15:09:07 RUN   sk-doc p1 minimax run1 exit=0 elapsed=12s
15:09:20 RUN   sk-doc p1 minimax run2 exit=0 elapsed=13s
15:09:50 RUN   sk-doc p2 luna run1 exit=0 elapsed=30s
15:10:01 RUN   sk-doc p2 luna run2 exit=0 elapsed=11s
15:10:13 RUN   sk-doc p2 sol run1 exit=0 elapsed=12s
15:10:26 RUN   sk-doc p2 sol run2 exit=0 elapsed=13s
15:10:40 RUN   sk-doc p2 minimax run1 exit=0 elapsed=14s
15:10:55 RUN   sk-doc p2 minimax run2 exit=0 elapsed=15s
15:10:55 DRIVER DONE total=84 ran=81 skipped=3
18:09:33 POST-FLIP SWEEP START
18:09:33 DRIVER START
18:09:57 RUN   sk-code p1 luna run1 exit=0 elapsed=24s
18:10:46 RUN   sk-code p1 luna run2 exit=0 elapsed=49s
18:10:54 RUN   sk-code p1 sol run1 exit=0 elapsed=8s
18:11:02 RUN   sk-code p1 sol run2 exit=0 elapsed=8s
18:11:13 RUN   sk-code p1 minimax run1 exit=0 elapsed=11s
18:11:23 RUN   sk-code p1 minimax run2 exit=0 elapsed=10s
18:13:53 RUN   sk-code p2 luna run1 exit=124 elapsed=150s
18:14:27 RUN   sk-code p2 luna run2 exit=0 elapsed=34s
18:14:38 RUN   sk-code p2 sol run1 exit=0 elapsed=11s
18:14:47 RUN   sk-code p2 sol run2 exit=0 elapsed=9s
18:14:55 RUN   sk-code p2 minimax run1 exit=0 elapsed=8s
18:15:07 RUN   sk-code p2 minimax run2 exit=0 elapsed=12s
18:16:29 RUN   mcp-tooling p1 luna run1 exit=0 elapsed=82s
18:18:59 RUN   mcp-tooling p1 luna run2 exit=124 elapsed=150s
18:19:07 RUN   mcp-tooling p1 sol run1 exit=0 elapsed=8s
18:19:17 RUN   mcp-tooling p1 sol run2 exit=0 elapsed=10s
18:19:26 RUN   mcp-tooling p1 minimax run1 exit=0 elapsed=9s
18:19:36 RUN   mcp-tooling p1 minimax run2 exit=0 elapsed=10s
18:20:06 RUN   mcp-tooling p2 luna run1 exit=0 elapsed=30s
18:20:36 RUN   mcp-tooling p2 luna run2 exit=0 elapsed=30s
18:20:44 RUN   mcp-tooling p2 sol run1 exit=0 elapsed=8s
18:20:57 RUN   mcp-tooling p2 sol run2 exit=0 elapsed=13s
18:21:10 RUN   mcp-tooling p2 minimax run1 exit=0 elapsed=13s
18:21:17 RUN   mcp-tooling p2 minimax run2 exit=0 elapsed=7s
18:21:48 RUN   system-deep-loop p1 luna run1 exit=0 elapsed=31s
18:22:02 RUN   system-deep-loop p1 luna run2 exit=0 elapsed=14s
18:22:12 RUN   system-deep-loop p1 sol run1 exit=0 elapsed=10s
18:22:22 RUN   system-deep-loop p1 sol run2 exit=0 elapsed=10s
18:22:31 RUN   system-deep-loop p1 minimax run1 exit=0 elapsed=9s
18:22:42 RUN   system-deep-loop p1 minimax run2 exit=0 elapsed=11s
18:23:03 RUN   system-deep-loop p2 luna run1 exit=0 elapsed=21s
18:24:28 RUN   system-deep-loop p2 luna run2 exit=0 elapsed=85s
18:24:38 RUN   system-deep-loop p2 sol run1 exit=0 elapsed=10s
18:24:46 RUN   system-deep-loop p2 sol run2 exit=0 elapsed=8s
18:24:57 RUN   system-deep-loop p2 minimax run1 exit=0 elapsed=11s
18:25:06 RUN   system-deep-loop p2 minimax run2 exit=0 elapsed=9s
18:25:16 RUN   cli-external-orchestration p1 luna run1 exit=0 elapsed=10s
18:25:51 RUN   cli-external-orchestration p1 luna run2 exit=0 elapsed=35s
18:26:01 RUN   cli-external-orchestration p1 sol run1 exit=0 elapsed=10s
18:26:09 RUN   cli-external-orchestration p1 sol run2 exit=0 elapsed=8s
18:26:18 RUN   cli-external-orchestration p1 minimax run1 exit=0 elapsed=9s
18:26:28 RUN   cli-external-orchestration p1 minimax run2 exit=0 elapsed=10s
18:28:58 RUN   cli-external-orchestration p2 luna run1 exit=124 elapsed=150s
18:29:08 RUN   cli-external-orchestration p2 luna run2 exit=0 elapsed=10s
18:29:17 RUN   cli-external-orchestration p2 sol run1 exit=0 elapsed=9s
18:29:26 RUN   cli-external-orchestration p2 sol run2 exit=0 elapsed=9s
18:29:35 RUN   cli-external-orchestration p2 minimax run1 exit=0 elapsed=9s
18:29:49 RUN   cli-external-orchestration p2 minimax run2 exit=0 elapsed=14s
18:30:59 RUN   sk-prompt p1 luna run1 exit=0 elapsed=70s
18:32:05 RUN   sk-prompt p1 luna run2 exit=0 elapsed=66s
18:32:12 RUN   sk-prompt p1 sol run1 exit=0 elapsed=7s
18:32:21 RUN   sk-prompt p1 sol run2 exit=0 elapsed=9s
18:32:30 RUN   sk-prompt p1 minimax run1 exit=0 elapsed=9s
18:32:38 RUN   sk-prompt p1 minimax run2 exit=0 elapsed=8s
18:35:08 RUN   sk-prompt p2 luna run1 exit=124 elapsed=150s
18:37:00 RUN   sk-prompt p2 luna run2 exit=0 elapsed=112s
18:37:09 RUN   sk-prompt p2 sol run1 exit=0 elapsed=9s
18:37:19 RUN   sk-prompt p2 sol run2 exit=0 elapsed=10s
18:37:33 RUN   sk-prompt p2 minimax run1 exit=0 elapsed=14s
18:37:44 RUN   sk-prompt p2 minimax run2 exit=0 elapsed=11s
18:40:14 RUN   sk-design p1 luna run1 exit=124 elapsed=150s
18:42:44 RUN   sk-design p1 luna run2 exit=124 elapsed=150s
18:42:52 RUN   sk-design p1 sol run1 exit=0 elapsed=8s
18:42:59 RUN   sk-design p1 sol run2 exit=0 elapsed=7s
18:43:09 RUN   sk-design p1 minimax run1 exit=0 elapsed=10s
18:43:19 RUN   sk-design p1 minimax run2 exit=0 elapsed=10s
18:43:38 RUN   sk-design p2 luna run1 exit=0 elapsed=19s
18:44:58 RUN   sk-design p2 luna run2 exit=0 elapsed=80s
18:45:06 RUN   sk-design p2 sol run1 exit=0 elapsed=8s
18:45:14 RUN   sk-design p2 sol run2 exit=0 elapsed=8s
18:45:23 RUN   sk-design p2 minimax run1 exit=0 elapsed=9s
18:45:32 RUN   sk-design p2 minimax run2 exit=0 elapsed=9s
18:45:57 RUN   sk-doc p1 luna run1 exit=0 elapsed=25s
18:47:20 RUN   sk-doc p1 luna run2 exit=0 elapsed=83s
18:47:31 RUN   sk-doc p1 sol run1 exit=0 elapsed=11s
18:47:42 RUN   sk-doc p1 sol run2 exit=0 elapsed=11s
18:47:52 RUN   sk-doc p1 minimax run1 exit=0 elapsed=10s
18:48:05 RUN   sk-doc p1 minimax run2 exit=0 elapsed=13s
18:48:19 RUN   sk-doc p2 luna run1 exit=0 elapsed=14s
18:50:02 RUN   sk-doc p2 luna run2 exit=0 elapsed=103s
18:50:12 RUN   sk-doc p2 sol run1 exit=0 elapsed=10s
18:50:22 RUN   sk-doc p2 sol run2 exit=0 elapsed=10s
18:50:31 RUN   sk-doc p2 minimax run1 exit=0 elapsed=9s
18:50:40 RUN   sk-doc p2 minimax run2 exit=0 elapsed=9s
18:50:40 DRIVER DONE total=84 ran=84 skipped=0
